============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,293427015032296;-42,45574390613854;-16,903177530672544;
sdFX;8,050597168334702;1,5925923336111476;4,203035951249596;

==========================================================
===> Médias para cada NFOB:
16000;1,7760509279943086;1,7451850598921201;1,8283318157681676;
18000;1,7306886915168627;1,6877956910053036;1,7942287208466003;
20000;1,6962711204020489;1,6805082041178125;1,7689798964959602;
25000;1,6200115132881896;1,5842531055479916;1,690831672517876;
30000;1,5262481633896963;1,5106744257409301;1,6177494104243304;
35000;1,496245244504395;1,4908463809537158;1,5851089477007785;
40000;1,4374724664533587;1,471041543263744;1,5401812065092622;
45000;1,3584517416168183;1,4360543915753963;1,4990606479359172;
50000;1,3018217278476683;1,396381785632552;1,4650605053271566;
55000;1,2830367269306957;1,3962095847704254;1,4420304411144322;
60000;1,279615108681978;1,3767502598455479;1,4181193042530416;
65000;1,260102713205847;1,359499465778729;1,4013938954687541;
70000;1,2332099711065208;1,343776154080367;1,393582650805804;
75000;1,2191619527874777;1,3218308040510207;1,372787759439634;
80000;1,1962398215756493;1,306060897327023;1,372502091683087;
85000;1,195191602072161;1,3021142189422619;1,372502091683087;
90000;1,1935899210942003;1,2842375734903155;1,3595486468726015;
95000;1,1737172326539935;1,2711584908644324;1,3279054247879725;
100000;1,163492418228264;1,2711584908644324;1,3184318234512502;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;0,8038177931499124;1,1005750424477374;1,5041441256023675;
2;1,1028748069314531;1,2015980782726476;1,3121345292585054;
3;0,9765266357217509;1,2305175835571034;1,29987617561956;
4;1,1261723007663367;1,2097962782126506;1,334642795523985;
5;1,2320080302996972;1,4030711074009128;0,7999920162278603;
6;1,6047146238352499;1,32471234801506;1,2238444004011066;
7;1,3999670804649924;1,101215403991859;1,4005293511020644;
8;0,7098762482760255;1,4228120378151052;1,6012901602151106;
9;1,4004788005243918;1,4630552175764842;1,102357686291177;
10;1,1999806073424253;1,4000031065246223;1,3012470783209311;
11;1,3066791060808018;1,6032291289910243;1,6009745292398583;
12;1,4998737476329564;1,5243842729935209;1,0525332757951846;
13;1,0466325030530466;1,3696265197245485;1,403340665563086;
14;1,3159651327716866;1,3626845362092157;1,3741221908437828;
15;1,2375943265112657;1,558798234884417;1,3172462310165565;
16;1,1010781962515195;1,0040225734548507;1,554533774507799;
17;1,0059373442217647;1,4115688914854023;1,2998735423378611;
18;1,099894726933957;1,2106479363745013;1,4845349120748637;
19;0,9158320937908154;1,4265442431669755;1,5002087420593446;
20;1,3150860128701594;1,2064634412813242;1,6003271468586087;
21;1,0001273617347253;1,1002640017998582;1,2998944778953292;
22;1,2020458471387294;1,1431170786372444;1,299959930117975;
23;0,9052237603404771;0,9000646296139508;1,5034543000531073;
24;1,1004653043952861;1,204002843802975;1,4041644921467826;
25;0,8118923278865875;1,3018403723781977;1,103921938234202;
26;1,1875549572200494;1,026046361065717;1,4117100068445272;
27;1,1842811698975395;1,524182955572342;1,0032034859543022;
28;1,4022725901065147;1,300003677595924;0,8556656482295124;
29;1,4099567375876716;0,7999388963566345;1,3750346159515952;
30;1,299962373110132;1,2999679267301625;1,2281924792505619;

============================================================================
Função: Schaffer 2
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;1,4723220975702371E-05;1,0895344114196053E-05;9,445676345058256E-06;
sdFX;3,702201562237664E-05;1,7930145212183264E-05;1,363926461165107E-05;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;0,1440972552197968;0,10513463986981421;0,15065900812731786;
1000;0,06605799930327892;0,05656385206322863;0,06729297868603026;
1500;0,04642887039419401;0,028184351137772772;0,046872376790927484;
2000;0,0326658142913097;0,018545888117679796;0,02260611812083652;
2500;0,02497325316029478;0,013646347895161537;0,01585165776880556;
3000;0,018728741858794716;0,012556595215160195;0,011477509356203782;
3500;0,01411088548555005;0,01155609934100899;0,009906165138616217;
4000;0,01345732399953123;0,010776427938435171;0,009361259269759925;
4500;0,01002901104678456;0,01000358571229152;0,008380542210723704;
5000;0,009254326893891355;0,01000358571229152;0,007745864291868813;
6000;0,007796553297657789;0,00645248114231059;0,007666702657058701;
7000;0,005698123990954333;0,0034554606002028644;0,0060365049801713346;
8000;0,004757743762060301;0,0029153226110696243;0,003990174293923169;
9000;0,002262673150657063;0,002672682847005459;0,003574579453119318;
10000;0,001771166654451293;0,0022487294321609673;0,0019087242207803002;
12000;0,0012937952365314586;0,0012853213359788802;0,001002661329327583;
14000;0,0010937225799878306;0,0008563098601801729;0,0009851298663319796;
16000;0,0009604252129854347;0,0006817167898791332;0,0002574849240968032;
18000;0,0008563638385188792;0,0006769046698586726;0,00025741436671662584;
20000;0,0008025831810103375;0,0006483010093416119;0,00021384758035033295;
25000;0,0004736041885780917;0,00040257393660395047;0,0002042102649092677;
30000;0,0003944594340398603;0,00015173908249864753;0,0001228707958272642;
35000;0,0003274874462417735;9,333434231893478E-05;7,374947459252342E-05;
40000;0,00011418223565701028;6,601614723370509E-05;6,963115512544915E-05;
45000;0,00010318371232054258;5,923393834455319E-05;5,346727991949278E-05;
50000;5,952605056400902E-05;4,565857862051104E-05;4,285987294219325E-05;
55000;3,783903778868021E-05;4,545357187972221E-05;3,611576044101154E-05;
60000;3,783903778868021E-05;4,5190485210255817E-05;3,248544926832131E-05;
65000;3,783903778865801E-05;4,493745939382343E-05;3,248544926832131E-05;
70000;2,552468737438048E-05;4,099995630927888E-05;1,6640668391817066E-05;
75000;2,2314265727872242E-05;2,6420664562909478E-05;1,0105936753109409E-05;
80000;2,231426572785744E-05;1,4888748829635275E-05;1,010552138718997E-05;
85000;2,231426572785744E-05;1,1531037043366332E-05;9,615100762405681E-06;
90000;2,231426572785744E-05;1,0927417677162692E-05;9,445676345058256E-06;
95000;1,6984402115412706E-05;1,0895344114196053E-05;9,445676345058256E-06;
100000;1,4723220975702371E-05;1,0895344114196053E-05;9,445676345058256E-06;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;5,3211399344887944E-05;2,0417258606020283E-07;2,793255217858892E-05;
2;1,6945258980383127E-05;4,4965829393284196E-09;5,847896224653315E-06;
3;0,0001952142109239996;8,034432008585668E-10;1,9131196626887004E-11;
4;0;1,0662189141252831E-05;2,4908581052585088E-05;
5;0;6,173973904344265E-08;5,5728272292554504E-05;
6;4,440892098500626E-16;1,637672155380132E-05;1,8854525968892144E-05;
7;8,881784197001252E-16;4,986092730330238E-05;2,5536764924893873E-09;
8;0;6,521467294517969E-07;8,91234621369641E-06;
9;3,728873337383032E-06;1,0910552636855808E-05;3,3594189041696865E-08;
10;1,2615884782296583E-05;2,7744436691956587E-06;4,845440326750605E-09;
11;4,440892098500626E-16;1,0379042236774438E-08;8,726686741566958E-07;
12;8,039528145931119E-06;5,106149748024258E-07;2,276032911030512E-06;
13;1,5735586485265962E-05;8,855823784847949E-07;9,59215839879679E-06;
14;6,986124144514605E-06;4,1028422880839965E-05;3,328641251520992E-10;
15;6,661338147750939E-16;3,30054650615752E-06;3,2495147300637406E-05;
16;1,2909305348030031E-06;6,40631051445073E-05;2,2072677852147393E-08;
17;2,220446049250313E-16;4,151027299670318E-10;7,889328190735512E-09;
18;2,4098562034780002E-09;1,6608325548173042E-07;7,942038075525737E-07;
19;6,661338147750939E-16;1,5094497243517413E-05;1,863617038466714E-10;
20;8,881784197001252E-16;1,5671114351745175E-06;5,462492291830046E-09;
21;0;2,848968568225363E-06;8,035843546139176E-09;
22;0;4,880516786637257E-05;2,9001441120002358E-05;
23;1,4709625031195106E-05;2,7769469643890154E-05;1,1512184260820124E-05;
24;3,141808633255749E-05;1,5441502637103532E-06;2,7098089327992625E-08;
25;6,749779069004092E-10;2,6345614430101083E-05;2,125160324834008E-05;
26;3,0466479098156807E-05;1,38177180525334E-06;5,1615341231658896E-06;
27;8,881784197001252E-16;3,6089503607783513E-09;1,6521071332098458E-06;
28;0;9,286478808157028E-10;4,96185858028797E-06;
29;2,869358331325511E-06;2,11690209805937E-08;1,9312134114102264E-09;
30;4,8462198959153824E-05;4,52288007046775E-09;2,1501155555270213E-05;

============================================================================
Função: Bartels Conn
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;1;1,0001463627095406;1,0000071895668783;
sdFX;8,246529600388713E-17;9,57963761635783E-05;4,933800787782619E-06;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;47,24272772608927;45,06150898200987;1421,0659307395715;
1000;1,4254662137647982;1,1900051487588497;54,712834066215926;
1500;1,1528380998741783;1,0334069062498907;1,0623135000605695;
2000;1,0003610935669096;1,0188114213754451;1,0042055041181839;
2500;1,0000615769112928;1,0142951474407906;1,001684759507177;
3000;1,0000253466755098;1,009782687325858;1,0012233021637322;
3500;1,0000009142144264;1,0045367582734248;1,0003532396104167;
4000;1,0000000024117903;1,0031228248152446;1,0002380934158293;
4500;1,0000000008860621;1,0018858042786496;1,0001903344413934;
5000;1,000000000077622;1,0017176943120911;1,000156165360348;
6000;1,0000000000058349;1,0014887977156228;1,0001146118422557;
7000;1,000000000000225;1,0012347603188543;1,0001019980632069;
8000;1,0000000000000608;1,000949925095102;1,000087519186028;
9000;1,0000000000000595;1,0007977355177955;1,0000753460136864;
10000;1,0000000000000584;1,0006314306556878;1,0000577172421468;
12000;1,0000000000000047;1,0005729449473362;1,000048579061862;
14000;1,0000000000000022;1,0005062213023002;1,000046068505105;
16000;1,0000000000000009;1,0004754871704813;1,0000451167030888;
18000;1,0000000000000007;1,0004637417787463;1,0000401158750878;
20000;1,0000000000000007;1,0003736919335011;1,0000392392912567;
25000;1,0000000000000002;1,0003633087651813;1,0000339085439782;
30000;1,0000000000000002;1,000295648081085;1,0000251352506677;
35000;1;1,000272171430813;1,0000177052082677;
40000;1;1,000260278947856;1,0000154907794334;
45000;1;1,0002339479303677;1,0000148597346141;
50000;1;1,0002239912527116;1,000014354887774;
55000;1;1,0002176902805622;1,0000137718704536;
60000;1;1,0002002856089587;1,0000133308891066;
65000;1;1,0001964884984986;1,0000120444609846;
70000;1;1,000184208746404;1,0000111871381197;
75000;1;1,0001779469230156;1,0000104103469243;
80000;1;1,0001769918267234;1,0000104103469243;
85000;1;1,0001543380414561;1,0000098123963617;
90000;1;1,0001527090914837;1,000008952071945;
95000;1;1,0001473811240733;1,0000078757458586;
100000;1;1,0001463627095406;1,0000071895668783;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;1;1,0001491774054505;1,000005113521697;
2;1;1,0002248242072869;1,0000031249724823;
3;1;1,0001057055200318;1,0000035521362218;
4;1;1,0003591673272596;1,0000067640478523;
5;1;1,000207026142813;1,0000015588703466;
6;1;1,0003896033927704;1,000008179650435;
7;1;1,0003091793947227;1,0000070651868505;
8;1;1,0001894796125501;1,0000156044364787;
9;1;1,0002466193415018;1,0000038408422656;
10;1;1,0001238857475685;1,000013508568325;
11;1;1,0001678457222956;1,0000043667385263;
12;1;1,0000747933240288;1,0000031204856594;
13;1;1,0000393413088875;1,0000073557045637;
14;1;1,0001148274985419;1,0000094149808256;
15;1;1,0001286446641768;1,000005684671881;
16;1;1,0001580716323102;1,0000053127981918;
17;1;1,000127021001262;1,0000007268971722;
18;1;1,0000538513151551;1,0000026680194356;
19;1;1,0000662267280593;1,0000052569135445;
20;1;1,0001603728596324;1,0000125190503595;
21;1;1,000060961079896;1,0000068065380807;
22;1;1,0000905706503762;1,0000057496913939;
23;1;1,0001039965087646;1,0000165810944053;
24;1;1,00006385495123;1,0000132400856525;
25;1;1,0001424380322046;1,0000023947470553;
26;1;1,000275460110142;1,000019756300767;
27;1;1,0000291197344067;1,0000031954647535;
28;1,0000000000000004;1,0001686325399768;1,0000022317030919;
29;1;1,0000413673262725;1,0000075772316392;
30;1;1,000018816206644;1,0000134156563951;

============================================================================
Função: Bird
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;-106,76440887454966;-106,76453673048067;-106,76453613745431;
sdFX;0,00015269004466250303;2,1438160725246277E-08;6,409853994400401E-07;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;-83,8947243053481;-86,77066660621789;-94,30748029581329;
1000;-102,01155092326002;-93,81463580191893;-99,54450106474184;
1500;-106,26037366206187;-96,47660655455535;-106,72386652908646;
