




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,613070963168130E-02  -->  sd:1,879324874392750E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,776342687672150E-02  -->  sd:3,238023427830910E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 7,010555830760200E-02  -->  sd:3,391742945040930E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 7,023630106398130E-02  -->  sd:2,487445074314270E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 8,222737436475420E-02  -->  sd:3,580404208628790E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 8,608908945423190E-02  -->  sd:2,327107114376000E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 8,924470920281160E-02  -->  sd:2,002715120783990E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  3,50  -->  NFE:   98252  -->  fx: 9,391804770881800E-02  -->  sd:2,087249760411620E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,099254710451950E-01  -->  sd:9,527755232315080E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,277085128540990E-01  -->  sd:3,355968146118990E-02
P =  4;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,300221964036990E-01  -->  sd:7,805769792905060E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,414221380973120E-01  -->  sd:5,527033447420360E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,626647583331960E-01  -->  sd:5,889118160177740E-02
P =  4;   s =  1;   std1 =  8,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,643064556234710E-01  -->  sd:4,408962573813120E-02
P =  4;   s =  1;   std1 =  8,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,671054149309750E-01  -->  sd:3,546919916440620E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 1,738714095102400E-01  -->  sd:1,651987468948660E-01
P =  4;   s =  1;   std1 =  8,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,899513794732780E-01  -->  sd:2,945812937477530E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,942648023080000E-01  -->  sd:5,706648817740380E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,947738447085550E-01  -->  sd:3,458693143618790E-01
P =  4;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 1,947992920212370E-01  -->  sd:5,768643957341300E-02
P =  4;   s =  1;   std1 =  8,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 2,111220144204490E-01  -->  sd:4,115804767214380E-02
P =  4;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,354880701422320E-01  -->  sd:4,126850307233820E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 2,700763822537340E-01  -->  sd:7,650282908305800E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 2,801990188334710E-01  -->  sd:4,134396750616910E-01
P = 16;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 2,871796808274690E-01  -->  sd:4,167743222640670E-01
P = 16;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 2,907520592386360E-01  -->  sd:7,155524278637200E-01
P =  8;   s =  1;   std1 =  4,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 2,911244664401870E-01  -->  sd:1,425558398195040E-01
P =  4;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,051910346453330E-01  -->  sd:7,030448511380450E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,067198215413580E-01  -->  sd:9,537075488151300E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 3,089652331398880E-01  -->  sd:4,349592691058190E-01
P = 16;   s =  2;   std1 =  8,00;   tau =  3,50  -->  NFE:   98843  -->  fx: 3,214996636813090E-01  -->  sd:6,268647784763960E-01
P =  4;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 3,543736310875510E-01  -->  sd:7,712586851284900E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 3,769354137889930E-01  -->  sd:1,148464885123710E-01
P =  8;   s =  1;   std1 =  8,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 3,775911629477600E-01  -->  sd:8,981432549888790E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 3,837005964505720E-01  -->  sd:1,130884252830430E-01
P =  4;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 3,845207446080270E-01  -->  sd:1,465124342841070E-01
P = 16;   s =  2;   std1 =  8,00;   tau =  5,00  -->  NFE:   99844  -->  fx: 3,907833769050790E-01  -->  sd:4,680093868652970E-01
P =  4;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,994811659088090E-01  -->  sd:5,020427221291200E-01
P = 16;   s =  2;   std1 =  8,00;   tau =  4,50  -->  NFE:   98843  -->  fx: 4,142102363437750E-01  -->  sd:6,287738426002760E-01
P =  4;   s =  1;   std1 =  8,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 4,693435234848060E-01  -->  sd:8,326744879507400E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 4,725250072517350E-01  -->  sd:8,747891262917650E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 5,629387175393030E-01  -->  sd:8,918222241830460E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 5,669937990105910E-01  -->  sd:6,653464916688610E-01
P =  4;   s =  1;   std1 =  8,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 6,369386638891000E-01  -->  sd:9,260671206639640E-02
P = 16;   s =  2;   std1 =  8,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 6,669365193734400E-01  -->  sd:1,119555141611610E+00
P = 16;   s =  1;   std1 =  8,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 8,116345728968060E-01  -->  sd:6,430444641479080E-01
P =  4;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 8,454208609374880E-01  -->  sd:1,625293519801610E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 9,144423876437460E-01  -->  sd:2,164707970073380E+00
P =  4;   s =  2;   std1 =  8,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 9,535779950325920E-01  -->  sd:1,170776403194050E-01
P =  4;   s =  1;   std1 =  8,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 9,616092789068010E-01  -->  sd:9,307452860642940E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,141173471635810E+00  -->  sd:1,283197489690250E+00
P =  4;   s =  1;   std1 =  4,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 1,152681403591780E+00  -->  sd:1,124655028949190E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,470850525700600E+00  -->  sd:1,204928427999520E+00
P =  8;   s =  1;   std1 =  8,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 1,835632454058140E+00  -->  sd:2,022755186581950E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 1,848309971318430E+00  -->  sd:1,979488965087510E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 2,695668363560150E+00  -->  sd:2,185538938347210E+00
P =  4;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 3,162424312242440E+00  -->  sd:2,085033189827750E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 3,558663292425450E+00  -->  sd:1,972957748996700E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 3,593445367762110E+00  -->  sd:3,774094318649050E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 4,592257557202720E+00  -->  sd:4,431556534261300E+00
P =  8;   s =  1;   std1 =  4,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 4,838850635547740E+00  -->  sd:2,988634989752990E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,854403066441260E+00  -->  sd:3,389529752418010E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 4,917692938380310E+00  -->  sd:3,367369997924060E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 4,933244915968980E+00  -->  sd:5,919431575857700E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 5,400705097278600E+00  -->  sd:3,961093517465410E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 5,461395400272030E+00  -->  sd:6,496227296201020E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 5,662537794431650E+00  -->  sd:3,353110011877540E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 5,794393589655790E+00  -->  sd:3,254480206967090E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 5,950592080953680E+00  -->  sd:4,472059339332660E+00
P =  4;   s =  2;   std1 =  4,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 6,205764490442550E+00  -->  sd:6,187164806029040E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 6,319804222194260E+00  -->  sd:2,724598353521270E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 6,359521524366780E+00  -->  sd:3,924345674275070E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 6,701306844724910E+00  -->  sd:4,291022355626690E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 6,958675861622360E+00  -->  sd:5,166079389017760E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 7,416300573431730E+00  -->  sd:5,559964968935430E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 7,755982530897070E+00  -->  sd:5,814443739342710E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 8,228318586860380E+00  -->  sd:5,659966221897690E+00
P = 16;   s =  1;   std1 =  4,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 8,487108597053810E+00  -->  sd:6,593014816217690E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 9,269935524037580E+00  -->  sd:4,814093749312850E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 9,390641331339870E+00  -->  sd:5,847827550950150E+00
P =  8;   s =  2;   std1 =  4,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 9,447584893510950E+00  -->  sd:5,619005274683740E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 9,678408042449840E+00  -->  sd:4,703323242306910E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 1,100482360232290E+01  -->  sd:5,806141092282790E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 1,163029100492170E+01  -->  sd:5,947557476396520E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  4,50  -->  NFE:  100153  -->  fx: 1,177783627258890E+01  -->  sd:8,675041225324360E+00
P =  8;   s =  2;   std1 =  8,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 1,242862957174940E+01  -->  sd:9,918375626270490E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,283487148110850E+01  -->  sd:4,747861096395560E+00
P = 16;   s =  2;   std1 =  8,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 1,386911822095270E+01  -->  sd:1,088183438442170E+01
P =  8;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 1,470525138395480E+01  -->  sd:7,594192450256860E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  3,50  -->  NFE:  100153  -->  fx: 1,485423649854130E+01  -->  sd:9,741178990950660E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 1,502427295285270E+01  -->  sd:7,063448718058560E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,506264131615720E+01  -->  sd:8,126136112346670E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 1,515948501550010E+01  -->  sd:9,168378023085490E+00
P = 16;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:  100153  -->  fx: 1,753400988529050E+01  -->  sd:7,382659599630710E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,994402091301270E+01  -->  sd:7,259592590129470E+00
P =  4;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,043456178383160E+01  -->  sd:9,239921343870590E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 2,227282270738640E+01  -->  sd:1,103411768543590E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 2,296616835049580E+01  -->  sd:9,695625130279360E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,322120158485880E+01  -->  sd:9,387763216181360E+00
P =  8;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 2,542455364036980E+01  -->  sd:1,106321508378870E+01
P =  4;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:  100036  -->  fx: 2,655419539491180E+01  -->  sd:1,282003854967610E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 2,694085037987770E+01  -->  sd:1,051678803048060E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 2,846737823253500E+01  -->  sd:1,090234665156420E+01
P =  8;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 2,911799663875060E+01  -->  sd:1,182037068800500E+01
P =  4;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 2,943249668076690E+01  -->  sd:1,020746732570050E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 3,006943679528190E+01  -->  sd:9,624840384297450E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,141908022043790E+01  -->  sd:1,073913291202570E+01
P = 16;   s =  2;   std1 =  4,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 3,146920171464420E+01  -->  sd:1,244511756797380E+01
P =  4;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 3,237727081215720E+01  -->  sd:1,469121588285060E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,278869359509120E+01  -->  sd:1,070351553891520E+01
P =  8;   s =  1;   std1 =  4,00;   tau =  0,50  -->  NFE:  100143  -->  fx: 3,415812598878000E+01  -->  sd:1,752111334100860E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 3,449394966020680E+01  -->  sd:1,045163900931100E+01
P =  8;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 3,498843218060410E+01  -->  sd:1,572052396031760E+01
P =  8;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 3,501091469818070E+01  -->  sd:1,727644095954320E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100153  -->  fx: 3,503205518079240E+01  -->  sd:1,390615748329600E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100153  -->  fx: 3,671901568680710E+01  -->  sd:1,498189544801960E+01
P = 16;   s =  1;   std1 =  4,00;   tau =  1,00  -->  NFE:  100153  -->  fx: 3,774920406476480E+01  -->  sd:1,459820274446240E+01
P =  4;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 3,784225010390100E+01  -->  sd:1,122829218375670E+01
P =  8;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 3,883666646629740E+01  -->  sd:1,836587105865110E+01
P = 16;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 3,925257938844060E+01  -->  sd:1,344266001821800E+01
