




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
9000;0,0070375003986250465;0,10096203718147369;
10000;0,007033278198625046;0,09225783601766117;
12000;0,003193674570125009;0,0796855098551811;
14000;0,0015300475400000049;0,0704526492721664;
16000;0,0006218289102500156;0,0629774000721261;
18000;0,00032015045012501214;0,05677728493243694;
20000;0,0003087439718750135;0,051746821657561226;
25000;0,00017695414787500884;0,04219987222317619;
30000;0,0001635211322500076;0,034916226189481044;
35000;0,00015580797050000528;0,029157516358780566;
40000;0,00014963273437500262;0,024765753828689396;
45000;0,00011914699425000503;0,02112238377616178;
50000;0,00010746148050000706;0,018104817675747675;
55000;9,93670142500071E-05;0,015494817371204356;
60000;8,710527850000763E-05;0,01332005073809172;
65000;7,896275237500673E-05;0,01140887663770842;
70000;7,583654437500803E-05;0,009917483904079354;
75000;7,424052250000791E-05;0,008588677074722391;
80000;6,44346825000098E-05;0,0074289585755334085;
85000;6,400485437500884E-05;0,0064479841762058706;
90000;6,22929105000074E-05;0,0056109747058735735;
95000;5,9705266625008054E-05;0,004909697805807476;
100000;5,372143275000665E-05;0,0043019995110938234;











============================================================================
Função: schwefel
============================================================================
parameter;AGEO2var_5;AGEO2real2_P_AA_p3;
meanNFE;100000;100089;
meanFX;345,5293988051022;18,95026081397719;
melhorFX;64,5825774299492;0,00012727566354442388;
piorFX;625,683806414931;118,43846189010401;
medianFX;345,6162611162458;0,00012727566718240269;
sdFX;123,29468216166957;43,861036307852466;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEO2real2_P_AA_p3;
5;4066,271131474889;4067,3444629556216;
50;3839,9938854469556;3817,910157916791;
100;3716,463697324677;3797,8977682418613;
500;2389,918264888194;2859,5477988569105;
1000;1251,836202532298;1851,6185046035703;
1500;1033,4359862512815;1201,117696359502;
2000;1005,3043844592125;824,7282541549706;
2500;1004,8303877578063;681,8609979880017;
3000;998,7625789905801;568,2529431818492;
