




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 6,681394275102360E-02  -->  sd:3,925595863119810E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,684706434687540E-02  -->  sd:2,553660395183660E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   98869  -->  fx: 6,923329759872150E-02  -->  sd:1,136780875362040E-01
P = 16;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   99896  -->  fx: 7,155444430022630E-02  -->  sd:8,568180188464360E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 7,198087811123500E-02  -->  sd:1,528675133205480E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 7,280475979036700E-02  -->  sd:1,823073817728780E-01
P =  8;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 7,815868234924790E-02  -->  sd:3,592790712640930E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 8,271347544687110E-02  -->  sd:2,409917870082300E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 8,479314018791940E-02  -->  sd:1,610532430305410E-01
P = 16;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 9,042359637614010E-02  -->  sd:1,320727174677010E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,067338670269230E-01  -->  sd:3,782981645859540E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,272631975493410E-01  -->  sd:2,109590503770340E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,303815042926960E-01  -->  sd:2,889255553175690E-02
