




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  5,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,438778512009000E-02  -->  sd:3,724581932875470E-02
P = 12;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:   90404  -->  fx: 3,452722177103050E-02  -->  sd:2,907908557639810E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,481932166788520E-02  -->  sd:2,744742724974710E-02
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,495261537747530E-02  -->  sd:3,199342556761820E-02
P = 12;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:   93750  -->  fx: 3,502388402453190E-02  -->  sd:2,382715650071550E-02
P = 12;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:   95928  -->  fx: 3,511929526672080E-02  -->  sd:2,135144536404420E-02
P = 12;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 3,518586531230440E-02  -->  sd:2,595988811114310E-02
P = 12;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:   95147  -->  fx: 3,580070242837000E-02  -->  sd:2,642149712538840E-02
P = 12;   s = 10;   porc = 10,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 3,648327107805850E-02  -->  sd:2,426849111166480E-02
P =  4;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 3,653586899605600E-02  -->  sd:1,366446524199390E-02
P =  4;   s = 10;   porc =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,654122017030930E-02  -->  sd:1,450360343999220E-02
P = 12;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:   97663  -->  fx: 3,732392100534860E-02  -->  sd:3,012886403418950E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 3,773142420516300E-02  -->  sd:2,160109919788410E-02
P =  4;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,809319871615040E-02  -->  sd:1,991772029829180E-02
P = 12;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,816594610634720E-02  -->  sd:3,090352054611030E-02
P = 12;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:   99331  -->  fx: 3,846081447552030E-02  -->  sd:1,930783953610140E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 3,915591077478550E-02  -->  sd:3,013843392524540E-02
P = 12;   s = 10;   porc =  5,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,043333979421080E-02  -->  sd:2,735552038651370E-02
P = 12;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:   98222  -->  fx: 4,161316544879200E-02  -->  sd:2,931353781216990E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,298421568476010E-02  -->  sd:3,075323939356400E-02
P = 12;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 4,360544548480780E-02  -->  sd:2,342622103222540E-02
P = 12;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 4,361778849431580E-02  -->  sd:3,428810220311680E-02
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 4,467240369393170E-02  -->  sd:3,338718546630570E-02
P = 12;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 4,568793313774210E-02  -->  sd:2,798215079854840E-02
P =  4;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,903407851783510E-02  -->  sd:1,703476534781310E-02
P = 12;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 5,100366925543670E-02  -->  sd:3,732297696646070E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 5,758623930566940E-02  -->  sd:1,994078293937330E-02
P =  4;   s = 10;   porc =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 8,264431077068180E-02  -->  sd:2,713846925596530E-02
P =  4;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 8,299970969130600E-02  -->  sd:1,946422687010790E-02
P = 12;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 9,235341069447350E-02  -->  sd:5,600104167280400E-02
P = 12;   s =  2;   porc =  5,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 9,300788956163270E-02  -->  sd:5,427461167625430E-02
P = 12;   s = 10;   porc =  5,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,178696852662380E-01  -->  sd:6,387915066214380E-02
P =  4;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 1,291819710697750E-01  -->  sd:5,615553907258380E-02
P =  4;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,311647081068560E-01  -->  sd:3,573852076158300E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,623584260792780E-01  -->  sd:3,288473804974640E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,636814332816010E-01  -->  sd:7,400969435040840E-02
P =  4;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,643765059077800E-01  -->  sd:3,675436591715590E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 1,656188086814710E-01  -->  sd:6,656026384972310E-02
P = 12;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100016  -->  fx: 1,710812471463640E-01  -->  sd:9,306817586476470E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,753479317210160E-01  -->  sd:4,771419507621390E-02
P =  4;   s = 10;   porc =  5,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 1,905387197915110E-01  -->  sd:8,676317494940190E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 2,029593238027210E-01  -->  sd:4,365150487142790E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,049334175011620E-01  -->  sd:5,045465378488080E-02
P =  4;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,682054583385760E-01  -->  sd:5,777639537803880E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100016  -->  fx: 2,760900267769510E-01  -->  sd:1,282897276606720E-01
