




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
piorFX;0,00019785609999997385;1,711900189313729E-06;0,0002242837743940273;
medianFX;2,9401600000061115E-05;2,034145477301544E-09;1,213363506196815E-08;
sdFX;5,053722798025667E-05;3,07481221161349E-07;4,345363308515176E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;GEOreal2_P_DS;AGEOreal2_P_DS;
5;89,68113237663538;370,7933266422495;370,6596155363739;
50;14,153983768533498;361,65404350718296;365,0384477484972;
100;2,1440571873875007;350,28530716455856;356,6674883192737;
500;0,9408778547471249;269,7680624356007;275,4499360577617;
1000;0,6603383720363749;193,89923221993686;197,42342084525376;
1500;0,36016140378237516;138,5943353519316;137,47704090115386;
2000;0,26232499405375015;97,73278888335304;97,54707701594077;
2500;0,20649265455337507;67,80070015630588;65,75092409899283;
3000;0,17197791028762513;46,879885146097735;44,665278413529734;
3500;0,15283819354562506;32,33589830007751;30,53000174640598;
4000;0,0922134866970001;22,02660596073562;21,440524516908013;
4500;0,053560122859125064;15,852217443065838;15,36769671402381;
5000;0,05161726584150003;11,487187890065679;11,165982360031405;
6000;0,02743955673950006;5,78369990732779;5,415534362378946;
7000;0,025875268851500054;2,4690756682458557;2,2908689144286902;
8000;0,01261953342125005;0,8581203858314456;0,8618591035684318;
9000;0,007995769245000017;0,3953703250141723;0,35994362749277947;
10000;0,007557131016750038;0,26065019013954305;0,236662720569629;
12000;0,002635061186875037;0,1125620778533733;0,10493183599906168;
14000;0,0006727078524999963;0,05357112459531654;0,049633307667053116;
16000;0,0006185355148749943;0,028864078013101032;0,029649515591176897;
18000;0,0005228852987499954;0,017507140234696024;0,019387536719217124;
20000;0,0005156746886249948;0,011312991978734567;0,013842107895482285;
25000;0,00019566816237500035;0,0042774983957649445;0,0060848363719028095;
30000;0,00014519346625000129;0,0017234764449692841;0,003407041219812975;
35000;0,0001334229223750012;0,0007296185024543805;0,0019346650381718766;
40000;9,560134437500033E-05;0,00031173774805357717;0,0012192107304549624;
45000;8,213045262499857E-05;0,0001450399226930382;0,0007782580223517856;
50000;7,205279274999913E-05;6,104136132077292E-05;0,00036667782503786164;
55000;7,019232887500348E-05;2,612426779133406E-05;0,0002142930727104286;
60000;6,501812274999954E-05;1,2732817920072398E-05;0,000133795936773237;
65000;6,501812274999954E-05;7,0507276788959E-06;8,792169893708494E-05;
70000;5,902052087499874E-05;2,8358085804662567E-06;5,6972817812732996E-05;
75000;5,65897447499972E-05;1,0175277165034569E-06;1,884492765244294E-05;
80000;5,624242462499715E-05;4,168962707925403E-07;1,6275569317984512E-05;
85000;5,1690774749996425E-05;3,0806159439107536E-07;1,4012953652447007E-05;
90000;5,0922972874996856E-05;1,9885922491186195E-07;9,578292800802474E-06;
95000;4,837374287499808E-05;7,905447134831832E-08;9,57771227915529E-06;
100000;4,7023422749998345E-05;7,844893677547109E-08;9,575270704452448E-06;











============================================================================
Função: schwefel
============================================================================
