============================================================================
Função: Paviani
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100068;100068;100068;
meanFX;-4,3362905328509465;-42,52918536586292;-17,307071633986634;
sdFX;7,334062377042941;1,9362626298079242;4,315165135794541;

==========================================================
===> Médias para cada NFOB:
16000;1,7889736114637353;1,8667671855376409;2,125176250802891;
18000;1,7623379479253596;1,8203833361911235;2,0343574401100946;
20000;1,6897639803038478;1,8073972659583248;1,9580294333882668;
25000;1,6160841096878877;1,7740134817238744;1,8084998265746188;
30000;1,5710111603191512;1,7482950886140292;1,7406793813499797;
35000;1,4817435194575337;1,6445118752291659;1,6622337708458674;
40000;1,452473115670164;1,6192057121091312;1,5605483977423054;
45000;1,4224300123031595;1,5218543354914036;1,5445928626811067;
50000;1,4125613651846873;1,4883323601721306;1,4689312445931206;
55000;1,3926722871189008;1,4506497631344468;1,4424306115930419;
60000;1,3926722871189008;1,4106480658478524;1,427416391629612;
65000;1,360509796283077;1,3713821172007448;1,4037373963410955;
70000;1,3547087567682214;1,3516098157582692;1,4037373963410955;
75000;1,3229451837174246;1,347235477149282;1,3660315543417927;
80000;1,2934499897562548;1,3224987502007937;1,3405991765923693;
85000;1,2924447574324467;1,322027428480061;1,3389237406400907;
90000;1,2853838355749392;1,322027428480061;1,3330914973115948;
95000;1,2518958197181;1,3051567099749009;1,3174804738576256;
100000;1,2479917747537455;1,2923305448654479;1,29904714835065;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;1,279662916488776;1,6998954245399909;1,621419403933432;
2;0,8999018537453114;1,1280797987713596;1,3497821730942998;
3;1,7894546381631118;1,1998744063620395;1,1557653804127306;
4;1,1004288173061911;1,0108119619864084;1,0217937832415096;
5;1,0406269566233695;1,1108615814006984;0,8250403185540041;
6;1,2005620497803626;1,3046128259285368;1,1030704454611064;
7;1,0998898291854677;1,4002684125031193;1,4000254632727476;
8;1,4591722825511022;1,4131816166331257;1,2241857555477167;
9;1,0595549072055017;1,700072495521448;1,5401995077961628;
10;1,4724866492369233;1,0017285167346683;1,500495819230014;
11;1,219305257472805;1,8038728791133032;1,2096122674610768;
12;0,7832510134902563;1,3897833017878378;1,7276692710402517;
13;1,3438444223376576;1,5478956707841718;1,1117585586154188;
14;1,2012909478298393;1,6785428515247824;1,243207574829754;
15;0,8999722557880949;0,7011125344427701;1,3014810304455628;
16;1,3027993601843308;0,8999246281845011;1,5259812720429533;
17;1,4784943394808396;1,512399790251723;1,2630210929006527;
18;0,9963896084525772;1,3854505565254576;1,1780304929590337;
19;1,1036168055801874;0,9073723940645257;1,1999006960898724;
20;1,7104925120396892;1,1498362823706536;1,1998825394746857;
21;1,419163026163107;1,2054889342526973;0,9015596236871027;
22;1,4100066460338168;1,1008934280417757;1,7667922585430156;
23;1,0084202278131196;0,9999626602305715;1,434309370623783;
24;1,4029214941351769;1,2028576291823514;1,3010891702740528;
25;1,1026132068632957;1,5000626932832648;1,3588710993269193;
26;1,3012887036512728;1,0581353857736349;0,9206275820668944;
27;1,306051787112758;1,6241618495619607;1,707233990111095;
28;1,4279760014153098;1,4186092730608197;1,2749629198961783;
29;1,2416414064134251;0,9282139954492569;1,2037691261764896;
30;1,3784733200686885;1,7859525676959933;1,399876463410989;

============================================================================
Função: Schaffer 2
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...
==========================================================
parameter;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
meanNFE;100001;100001;100001;
meanFX;8,452039547990156E-05;5,8648067459199375E-06;1,264441340964965E-05;
sdFX;0,0002750936874377533;1,1816655728265925E-05;2,711268085910418E-05;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
500;0,15683599813430243;0,11526366922994116;0,19128570404390483;
1000;0,09583046905794682;0,06417461166945286;0,09124117761238541;
1500;0,06107735163332558;0,030634790172005762;0,03525519157917934;
2000;0,043758464298201835;0,020792345218932157;0,02770923169808225;
2500;0,027683153365401458;0,017993372688460407;0,01899221144948059;
3000;0,023237064720435918;0,013347709675881234;0,010750278747266572;
3500;0,022649459814563462;0,012381100327670572;0,010062538983660201;
4000;0,019931208948460264;0,008916692310589185;0,009733638362973591;
4500;0,01992584160394509;0,008268263803890986;0,00601555283047108;
5000;0,017551164275761904;0,006616829882319084;0,005351287072231553;
6000;0,009111148098503859;0,005197867883910531;0,0038972950926074094;
7000;0,00815428890937189;0,004314583865773656;0,002945951068771152;
8000;0,0070664081893576725;0,003422570759920257;0,0022213118078763545;
9000;0,00612124095363194;0,003302847037152053;0,0019181658923444996;
10000;0,005639376172220202;0,0017128284635453128;0,0013859219653226118;
12000;0,0037480220551802854;0,0011488566456595499;0,0009834316024142234;
14000;0,003239778918486952;0,0010732763324487026;0,0008673669065755063;
16000;0,0022373153153931367;0,0008554845297873463;0,00016065978121209505;
18000;0,002074809254086039;0,0007244867835276503;0,00016065978121209505;
20000;0,001139727203758282;0,0007190806576987896;0,00013036425420300627;
25000;0,0010294693482054361;0,00031478171023706646;8,698951439726765E-05;
30000;0,0008703759714529173;0,00026585318448552796;5,438349427048054E-05;
35000;0,0005537326287235818;0,0001665026419953771;4,467053663627467E-05;
40000;0,0003540446101025348;9,933179647474052E-05;3,5351608100085234E-05;
45000;0,0003082408167950005;5,777080155739411E-05;3,262283605748132E-05;
50000;0,00021664510078441278;3,76971229769559E-05;3,0101422768498885E-05;
55000;0,00017104210435465357;3,159472825473945E-05;2,3620035205127825E-05;
60000;0,00016286146562553006;3,0454770064471577E-05;2,1267066773755783E-05;
65000;0,00015120032785027974;3,0257166783651904E-05;1,605205649613343E-05;
70000;0,00011733996439461936;2,210316858083002E-05;1,605205649613343E-05;
75000;0,00010037647939373969;1,7772656713734478E-05;1,5732684865423414E-05;
80000;9,471703574078598E-05;1,7710100242194585E-05;1,5708774697725802E-05;
85000;8,937551431924724E-05;1,2102627744697836E-05;1,4363633097932057E-05;
90000;8,937551431924724E-05;6,753898254985291E-06;1,2714794485624293E-05;
95000;8,640192544110045E-05;6,220573148150536E-06;1,264441340964965E-05;
100000;8,452039547990156E-05;5,8648067459199375E-06;1,264441340964965E-05;

==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2_REAL2_igor;AGEO2_REAL2_porcentagem;AGEO2_REAL2_normal;
1;4,962955469312025E-06;6,066925989367533E-08;9,603454676210266E-06;
2;4,9103525553984007E-05;1,9865106448690995E-07;3,562099319948109E-05;
3;1,2037038032985947E-12;9,421083609129077E-06;1,3372286056245741E-09;
4;0,00017004342262483263;3,1712483418155912E-06;2,03042656549135E-06;
5;6,27936258545958E-10;1,0643752312855526E-07;1,0361174606676737E-05;
6;2,6645352591003757E-15;3,454742010133849E-06;3,3928756526524495E-08;
7;0;1,979456870637719E-08;1,3063174275629308E-07;
8;5,112471526902418E-06;4,560770664518987E-06;8,133516082864389E-11;
9;2,220446049250313E-16;2,2964318216467383E-06;1,2476958469676003E-05;
10;2,220446049250313E-16;4,153031946507735E-06;8,110022653440296E-10;
11;4,440892098500626E-16;7,580254923755803E-08;6,963754295430391E-09;
12;0;5,8412227277315765E-09;1,298798402160628E-09;
13;0,0006901880235465341;2,386906988333104E-05;5,748464426547084E-05;
14;2,220446049250313E-16;1,2163455298530579E-08;3,523175794439837E-07;
15;4,328904340522577E-05;5,141063538216528E-07;1,7974442689805414E-07;
16;0,0013735155128783427;3,615608648588342E-07;2,7259993262696014E-08;
17;1,0982547900773021E-05;7,477337419181662E-06;2,1285193779418954E-05;
18;4,697387853913604E-06;5,083740373112988E-09;1,3745042043766809E-05;
19;4,32893533081069E-06;1,2530366406582338E-05;1,8238212051713276E-08;
20;1,7694052942718308E-05;1,759450135752072E-06;0,00013042039837102282;
21;9,007266590976837E-06;9,84081722543717E-06;1,1490031148753133E-10;
22;2,803705256182454E-06;9,034866184642887E-07;3,234916945427102E-09;
23;1,2423765660685149E-06;2,023934479344902E-06;5,4046382535033466E-05;
24;5,667621195581951E-06;1,8309033567032174E-08;1,1980819447643398E-08;
25;3,527668381853033E-07;5,441594047317366E-05;2,3325205553759165E-05;
26;0,00010666577389895071;9,781126338870294E-07;5,868927344110375E-09;
27;2,675970452020726E-05;2,4899859396576574E-09;1,0439136793882753E-07;
28;0;8,990498961969351E-07;8,050822621341602E-06;
29;9,194117889577136E-06;3,280786990833562E-05;1,068981347884801E-09;
30;2,3464230558545296E-11;5,492821197883302E-10;2,4328591363698138E-09;

============================================================================
Função: Bartels Conn
============================================================================

