




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
90000;8,062495266405386E-06;2,1332230214535195;
95000;7,91409894073667E-06;2,1332230214535195;
100000;7,361771564535587E-06;2,1332230214535195;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
meanNFE;100000;100000;
meanFX;389,40598599900125;1743,8313643054971;
melhorFX;185,27973351871424;481,9071914031497;
piorFX;669,1955148734528;2613,261614827589;
medianFX;396,0189801601364;1796,4777257847827;
sdFX;112,36769750057947;453,1289790398157;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap;
5;4048,6282579423823;4264,693294430452;
50;3321,565529083297;4245,53490320184;
100;2591,3791453312383;4220,03569672189;
500;1558,9823964985594;3998,500259246141;
1000;1273,6553588233928;3534,4549964695348;
1500;1158,1589364102686;3055,8753008083777;
2000;1042,1428890363652;2770,6496009978164;
2500;1005,7553926971246;2586,954917833337;
3000;972,5195510148405;2448,0037306584118;
3500;943,2794893634807;2312,5259068534715;
4000;931,5752243679715;2220,578001974601;
4500;898,9223420856026;2158,930551845903;
5000;879,7928926188575;2090,61388689695;
6000;849,7865498908479;1995,1577997168527;
7000;807,7768421744586;1922,899627808484;
8000;780,1106172549385;1911,326749953106;
9000;753,1026617097771;1880,8595422921794;
10000;726,7879023067017;1863,5991028398616;
12000;675,3277647913648;1843,8955964916845;
14000;653,4725661607766;1829,4086675314;
16000;628,9156332505643;1827,963737228659;
18000;610,7301037944361;1810,057817712662;
20000;592,6631549984684;1789,944629327146;
25000;549,2040192595049;1746,0020727085314;
30000;521,0113661478299;1745,8538124927557;
35000;501,1076603262685;1745,8276168284824;
40000;491,98272709389255;1745,8272632754695;
45000;481,6712520179917;1743,9233322729929;
50000;469,2947408815706;1743,831408679541;
55000;454,0373496722144;1743,831388143221;
60000;435,40428978412365;1743,8313871794949;
65000;411,5088185008288;1743,8313862540567;
70000;407,099283030189;1743,8313862338996;
75000;406,04165945587766;1743,8313842648095;
80000;404,75099581053007;1743,8313841638198;
85000;401,3889942906426;1743,8313673309683;
90000;395,0622794811026;1743,8313644599705;
95000;391,95119166758604;1743,8313643067072;
100000;389,40598599900125;1743,8313643054971;











============================================================================
Função: Ackley
============================================================================
parameter;AGEOreal1_P;AGEO2real1_P_autoadap;
meanNFE;100020;100020;
meanFX;0,18364729112037503;0,29601818841307503;
melhorFX;0,11466450815150964;0,06540910819484225;
piorFX;0,2538340117803983;0,5996522541182507;
medianFX;0,17746377644598965;0,2575880486512254;
sdFX;0,029583129535976752;0,1326515716860255;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEOreal1_P;AGEO2real1_P_autoadap;
5;20,99447185778244;20,93918644757425;
50;20,93995359073839;20,883155057552596;
