




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc =  3,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 2,891665214166670E-02  -->  sd:3,468217169519390E-02
P = 12;   s =  1;   porc =  1,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,902589598891040E-02  -->  sd:2,863340770604950E-02
P = 12;   s =  2;   porc =  3,00;   tau =  5,00  -->  NFE:   95803  -->  fx: 2,912757382021150E-02  -->  sd:1,742586599783250E-02
P = 12;   s =  2;   porc =  5,00;   tau =  4,50  -->  NFE:   97480  -->  fx: 3,039486852983060E-02  -->  sd:2,031570772366050E-02
P =  4;   s =  2;   porc =  0,30;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,144274782134410E-02  -->  sd:1,173416764511030E-02
P = 12;   s =  2;   porc =  3,00;   tau =  4,50  -->  NFE:   93884  -->  fx: 3,187936805032880E-02  -->  sd:2,374012221668310E-02
P = 12;   s =  1;   porc =  3,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,256027921611160E-02  -->  sd:2,225512474406500E-02
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:   88939  -->  fx: 3,384385662143960E-02  -->  sd:3,043896034742730E-02
P =  4;   s =  2;   porc =  0,50;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,449409242275890E-02  -->  sd:1,259958969920530E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:   90732  -->  fx: 3,472127234548820E-02  -->  sd:3,081303287695700E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:   97374  -->  fx: 3,472245291226100E-02  -->  sd:2,583974011003030E-02
P = 12;   s =  2;   porc =  5,00;   tau =  4,00  -->  NFE:   95273  -->  fx: 3,508205523518580E-02  -->  sd:3,007299647137240E-02
P = 12;   s =  1;   porc =  5,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,522234734110600E-02  -->  sd:2,975817188143230E-02
P = 12;   s =  1;   porc =  1,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 3,561006976083650E-02  -->  sd:2,468753848317460E-02
P = 12;   s =  1;   porc =  1,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,570381569664790E-02  -->  sd:3,200908124703610E-02
P = 12;   s =  1;   porc =  5,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 3,600387338420620E-02  -->  sd:3,237903886212450E-02
P = 12;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,659408661540470E-02  -->  sd:2,807950777371110E-02
P =  4;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 3,901845800543970E-02  -->  sd:1,397719625594530E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:   94260  -->  fx: 3,984035286454490E-02  -->  sd:3,047534144183320E-02
P = 12;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,984145528813100E-02  -->  sd:2,961636022893150E-02
P = 12;   s =  1;   porc =  5,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 4,002357526464270E-02  -->  sd:2,003834548452730E-02
P = 12;   s =  1;   porc =  3,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 4,141635658590560E-02  -->  sd:3,101810322868610E-02
P = 12;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 4,155368993113110E-02  -->  sd:2,770016031900210E-02
P = 12;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 4,240115309335310E-02  -->  sd:2,613867078238400E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 4,772198720855640E-02  -->  sd:1,154739475708370E-02
P =  4;   s =  1;   porc =  0,30;   tau =  5,00  -->  NFE:  100036  -->  fx: 4,825103203645350E-02  -->  sd:1,350943858152360E-02
P =  4;   s =  1;   porc =  0,30;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,922727002538740E-02  -->  sd:1,257918094198130E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,967304771162450E-02  -->  sd:1,490049084359790E-02
P =  4;   s =  1;   porc =  0,30;   tau =  4,50  -->  NFE:  100036  -->  fx: 5,314824864663790E-02  -->  sd:1,290892539959870E-02
P = 12;   s =  1;   porc = 10,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 5,512054525346820E-02  -->  sd:3,099420305049810E-02
P = 12;   s =  1;   porc =  0,50;   tau =  1,50  -->  NFE:  100016  -->  fx: 5,980650143553370E-02  -->  sd:3,147340745043650E-02
P =  4;   s =  2;   porc =  0,30;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,015886960340010E-02  -->  sd:1,826676847054650E-02
P =  4;   s =  2;   porc =  0,50;   tau =  2,50  -->  NFE:  100036  -->  fx: 6,114762818444340E-02  -->  sd:2,333234652680660E-02
P =  4;   s =  1;   porc =  0,30;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,521588968978930E-02  -->  sd:1,822919078405770E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,711301989555420E-02  -->  sd:2,689905438786170E-02
