




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
2500;0,3214976052980839;0,6488623632481525;0,48706923431118876;0,32267775028245715;0,7945045435547158;0,5830837197628967;
3000;0,3053283152177521;0,6329651452741787;0,4792102303333228;0,29053595288627143;0,7756707500145281;0,5732207465317276;
3500;0,2937033454143424;0,6191396500431173;0,4713268138868286;0,2680733245558958;0,7613963581864382;0,5597933719035769;
4000;0,28228903755508095;0,6038344773053209;0,4381832478431976;0,240391153220342;0,7491320542903283;0,5490110852380137;
4500;0,2718066595984471;0,591730432112773;0,22500292805565864;0,2086709944413891;0,7395467475151772;0,537233546819779;
5000;0,25994224079032807;0,5799604855241929;0,19524782822954376;0,19710058765033267;0,7328026846425866;0,5261042106051123;
6000;0,22420499287387377;0,5623039204355857;0,18868702663858877;0,19246223192344986;0,7242200893463753;0,5092213683828114;
7000;0,20670486889483075;0,5224062932077069;0,17499830984869016;0,17143561916344677;0,7196569007679328;0,49907432219690673;
8000;0,16983858845891553;0,5078125884425267;0,16454555122703968;0,15239611254354155;0,7180428648346581;0,4915733965538888;
9000;0,1597472802285098;0,496045270860238;0,15630052624117394;0,152336222545906;0,7166217641100736;0,4880005783318172;
10000;0,15636000392330165;0,4503473913367107;0,14871075239377263;0,15233620086564142;0,7166204416963854;0,4855773259989255;
12000;0,15374417997567802;0,41878479019202847;0,14169760925306915;0,13341345746331454;0,7166203651567109;0,4826473113350235;
14000;0,1523167889722747;0,41513912647233864;0,14042492488599345;0,11429598492316692;0,716620353327339;0,4820674464828816;
16000;0,152316741640449;0,41509465825203684;0,13852121087986208;0,0952108912508485;0,7166203478364588;0,48206744236060334;
18000;0,13494352683401348;0,415088695523633;0,13591236079412117;0,09519843078462227;0,7166203449832202;0,4820674277564752;
20000;0,13350163255389189;0,41508704992637097;0,13407769077016352;0,09519842597434061;0,7166203404322306;0,4820674269649686;
25000;0,11423764382908903;0,41490391985642255;0,13328703301455452;0,09519801307193547;0,7166203180300083;0,4820674268304475;
30000;0,07881934916521052;0,41490390339447825;0,07743392072619623;0,03810867783964003;0,7166203084175143;0,48206742681592285;
35000;0,07881930428435234;0,37782190971944607;0,05713244724638733;0,03807990150080424;0,7166203080776951;0,4820674268125071;
40000;0,05978160953484506;0,14228262540266545;0,05712979360617213;0,019040534169593285;0,7166202994999356;0,482067426801999;
45000;0,059779715099645026;0,14227219589596948;0,05712901023150037;0,01903961788512204;0,7166202993154789;0,4820674267955384;
50000;0,04076198856122733;0,12323380713893302;0,05712813210298397;0,019039611258319048;0,7166202990577644;0,4820674267910349;
55000;0,04072251149092847;0,10476963294332511;0,057126572998485406;0,019039608132700503;0,7166202983296909;0,48206742679080083;
60000;0,0407225078430467;0,09581801065638315;0,05711889892859836;0,01903960770895378;0,7166202982736787;0,4820674267899373;
65000;0,040722506191784955;0,0958055679960295;0,05711885710671736;0,01903960706005338;0,716620298250749;0,24784273709475713;
70000;0,02336252131905549;0,09580551135131148;0,038092870524315835;3,878219750268248E-08;0,7166202982019166;0,24751457458796863;
75000;0,019042907577941727;0,09580550265504409;0,03808200719569885;3,2340215551566126E-08;0,7166202981963009;0,24751456093804255;
80000;0,011667428201914997;0,07933026429957979;0,038081981098811876;1,78212433936793E-08;0,7166202980884027;0,24751456093730848;
85000;4,9728342181692755E-09;0,05773272352091222;0,03807926162220395;1,78212433936793E-08;0,7166202980518381;0,24751456093590235;
90000;4,815491888970992E-09;0,05772635058860259;0,0380792574197464;1,549275010692688E-08;0,7166202979968505;0,24751456093590235;
95000;1,9233531918188547E-09;0,038686761232223796;0,03807917436804355;1,3627216562950881E-08;0,7005708416797034;0,24751456093453097;
100000;1,900656106375663E-09;0,03868672632762389;0,038079173385818274;1,3627216562950881E-08;0,6975807186844284;0,2475145609333437;



Execution Time: 254581 ms
