




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5000;0;5,867217362579309;6,522872857117022;1,0658141036401502E-15;12,054069314636237;5,615654314368344;
6000;0;3,451424187309975;4,146658912056587;7,105427357601002E-16;7,98424235307661;3,513140648076064;
7000;0;2,081943028663952;2,575994465870239;1,7763568394002506E-16;5,8378646217345915;2,4998367883682;
8000;0;1,2776904107359395;1,748497272827197;0;4,325418499041504;1,8422753417496267;
9000;0;0,7695516334400068;1,094483048448359;0;3,0875197946280837;1,2310851612069873;
10000;0;0,5180393873596845;0,7754759696582504;0;1,9692760775173421;0,8470688712410643;
12000;0;0,2733344102995991;0,3652024434155777;0;1,165474534644032;0,45145068927321025;
14000;0;0,10747927452980761;0,13196143514763178;0;0,776238866574479;0,26218040649040175;
16000;0;0,061049170732436764;0,07480782195425775;0;0,5206993328874974;0,14618688525147938;
18000;0;0,02463945024155052;0,02458476632789548;0;0,2729388785716024;0,05221098437094742;
20000;0;1,58468088976349E-05;0,024584467840197455;0;0,18653128719697687;0,00036257923583367103;
25000;0;5,920597345721035E-11;4,698463840213662E-13;0;0,004283247033874993;8,117950756059145E-14;
30000;0;5,151434834260726E-15;5,684341886080802E-15;0;3,199105140794245E-08;4,440892098500626E-15;
35000;0;3,730349362740526E-15;3,552713678800501E-15;0;1,9539925233402757E-15;2,3092638912203257E-15;
40000;0;2,4868995751603505E-15;2,842170943040401E-15;0;8,881784197001252E-16;8,881784197001252E-16;
45000;0;1,9539925233402757E-15;1,7763568394002505E-15;0;3,552713678800501E-16;7,105427357601002E-16;
50000;0;1,2434497875801752E-15;1,2434497875801752E-15;0;0;3,552713678800501E-16;
55000;0;1,0658141036401502E-15;7,105427357601002E-16;0;0;1,7763568394002506E-16;
60000;0;8,881784197001252E-16;5,329070518200751E-16;0;0;0;
65000;0;7,105427357601002E-16;5,329070518200751E-16;0;0;0;
70000;0;5,329070518200751E-16;5,329070518200751E-16;0;0;0;
75000;0;1,7763568394002506E-16;3,552713678800501E-16;0;0;0;
80000;0;0;1,7763568394002506E-16;0;0;0;
85000;0;0;0;0;0;0;
90000;0;0;0;0;0;0;
95000;0;0;0;0;0;0;
100000;0;0;0;0;0;0;











============================================================================
Função: Rosenbrock
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
meanNFE;100000;100000;100000;100008;100000;100000;
meanFX;4,148559465548391E-05;1,377674138313319E-08;9,834992879720948E-06;0,00014097526730612;1,1969442805974343E-08;3,311469645522679E-05;
FXatual;4,148559465548391E-05;1,377674138313319E-08;9,834992879720948E-06;0,00014097526730612;1,1969442805974343E-08;3,311469645522679E-05;
medianFX;2,5981815333363955E-05;5,043751666119579E-09;4,126148681228664E-06;3,438812438817655E-07;5,994042016477156E-09;2,224677243188185E-06;
sdFX;5,0498312192932384E-05;2,239342378952154E-08;1,4969666019082917E-05;0,00042128363339688084;2,1991689348257963E-08;0,00018359547086042356;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5;224,60253452043457;456,4602676662792;284,79940365063135;140,9647963437036;455,5253646561729;223,33248473873647;
50;1,9821093930373581;439,23084747211504;10,644772965513376;5,77551980951643;440,7903911031764;13,171933202880226;
100;1,3716937046659463;416,1901935781646;1,3526450933567051;1,7458832943531306;425,79375116007014;3,191681267870765;
500;0,5324294633613941;282,32227370873505;0,8655687559472642;0,7164529159822572;316,4677171738241;1,073991975571252;
1000;0,28911981687400606;164,25764170153337;0,7490455903880286;0,5377867346543801;218,03537060814534;0,8124166946744358;
1500;0,16217419555915363;90,1633296115568;0,4474962970939698;0,49103359879214503;144,6807821618598;0,5941738219609994;
2000;0,1228232132322525;49,59996628348334;0,3623322824252046;0,29761052591462006;94,2331467255104;0,4657254171448921;
