




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
95000;11,140864107886227;6,162405766705655;4,705726514698723;
100000;10,964545187619885;6,100245623639877;4,702958047865904;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
meanNFE;100022;100000;100000;
meanFX;6,900749562499971E-05;7,192397222995808E-06;4,07329828383529E-06;
FXatual;6,900749562499971E-05;7,192397222995808E-06;4,07329828383529E-06;
medianFX;4,326600625001228E-05;3,97472681602938E-06;4,198600670740314E-07;
sdFX;6,635471478819273E-05;1,0824554220890713E-05;2,114706637515163E-05;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
5;59,91114220494046;698,3958638666504;714,1134296105794;
50;12,331263958745465;592,0463910327591;688,3570371986889;
100;2,011323794613437;502,75738252315784;661,4284597072148;
500;0,9699783254615623;134,83826319070943;507,8874621181361;
1000;0,5193392610393752;17,155199035667273;343,98385924789784;
1500;0,3963189014415628;2,1465046606867695;234,77956897916243;
2000;0,22612094006406275;1,0411943024322556;162,38443250803246;
2500;0,151457783078594;0,8755930667334025;103,83250381794144;
3000;0,09299309046156269;0,7980511986859511;64,99250806885037;
3500;0,07225236155609387;0,6936556857746642;41,33499782144075;
4000;0,06569511030140633;0,5852117618598592;24,372179834659363;
4500;0,06568360274890635;0,47628388080645123;14,419489475502441;
5000;0,06561348231390635;0,42336086118280203;7,854934968368076;
6000;0,04093360662625006;0,3446167151909652;2,46274216006331;
7000;0,01031450636078134;0,2758445131308014;1,0528243665528947;
8000;0,008149731185156241;0,24851027693735372;0,8059866154474522;
9000;0,006823060682968778;0,1945793238233089;0,6758284244191373;
10000;0,004937492735312498;0,14907430402219582;0,5778411679792034;
12000;0,0048233679878125;0,12017049566368873;0,36007621725881894;
14000;0,004327589125000011;0,11696284820152117;0,22604259184085307;
16000;0,0018034308023437723;0,11359703015940985;0,1443520978775466;
18000;0,0016130614725000229;0,09624648960389852;0,09896161476830524;
20000;0,0015505588073437722;0,057850738482088195;0,07007709163402404;
25000;0,0009565037176562496;0,0013649375698582401;0,0167014414842833;
30000;0,00019091493000000524;0,0007627760509210347;0,007093883213161264;
35000;0,00015302307531250625;3,788696709920561E-05;0,002879648582128265;
40000;0,00015166677781250517;3,4583819701106434E-05;0,001581694560872154;
45000;0,00014554972781250284;2,7371679348938336E-05;0,0010160355257519218;
50000;0,00011516318781249952;1,5021193929347064E-05;0,000349114949561107;
55000;0,00011167758781249835;1,4397118144628413E-05;0,00028992214005583186;
60000;0,00010340840265624836;1,1041655743679484E-05;0,00026966573391748737;
65000;9,93594729687496E-05;9,872677621398688E-06;0,00024986981316771107;
70000;9,51602378124997E-05;9,57331475577519E-06;0,0002479586851508227;
75000;9,222343781249902E-05;9,420572820855898E-06;9,611034197081122E-05;
80000;8,097729312500011E-05;9,342371657944388E-06;3,452383105505666E-05;
85000;8,08263054687509E-05;8,1466929314632E-06;1,8537574399445497E-05;
90000;7,88751282812527E-05;7,90944304737196E-06;1,76191253949472E-05;
95000;7,74538807812533E-05;7,5825271439297336E-06;1,748701722458822E-05;
100000;6,900749562499971E-05;7,192397222995808E-06;4,07329828383529E-06;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
meanNFE;100000;100000;100000;
meanFX;261,37340724656326;385,9363308475505;750,979534861069;
FXatual;261,37340724656326;385,9363308475505;750,979534861069;
medianFX;262,5314139638904;402,2049821896385;761,1189996553435;
sdFX;119,37818491007182;117,27162684143404;103,02092280820345;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
5;4064,8343797338957;3934,337577800937;4028,2551212899716;
50;3863,6076846958335;3142,266559269917;3309,3094538630494;
100;3728,7235337797524;2395,19373160298;2812,8068238177225;
500;2365,0432998999104;1472,9365697823466;1917,2200306632828;
1000;1309,229934676222;1283,394235683447;1677,4082547724975;
1500;1002,9278972328788;1108,417178934809;1520,0350758067586;
2000;955,6268267651507;1009,7944259487067;1387,385512847622;
2500;955,339752988097;956,8055819396134;1348,7718658082808;
3000;955,3265488068052;941,0531202092805;1301,5732809106362;
3500;944,3106884961671;904,1722631201762;1283,4527964801268;
4000;925,8443212807622;865,2089684260123;1240,8144455173026;
4500;915,4861878998443;856,1469738017831;1218,4890744430872;
5000;891,9212396599245;842,1265803746725;1210,0597185716363;
6000;854,9642479717386;826,6488062481369;1168,7511192231048;
7000;827,58125008804;805,5179159997926;1161,5463713344086;
8000;816,143006099836;771,1441524866128;1151,927467327664;
9000;778,4287010576203;740,5101164817038;1117,9906679713795;
10000;728,4201054988674;716,8520207660688;1092,3976381940554;
12000;692,9883142367686;692,3945290407885;1055,466256265457;
14000;653,020062363051;649,8485139557522;1027,7476820186066;
16000;643,3357063343927;605,4806543944587;1010,6703950557769;
18000;613,7876317092775;595,9619978610687;1003,0619574741237;
20000;553,0356477189063;568,955419458394;986,4431676466507;
25000;503,35892253405143;525,5357448368184;937,1967685055351;
30000;461,52145848301535;496,2948180798144;905,3186536138326;
35000;436,2799996344289;473,15024878402835;874,6402444075748;
40000;417,4648712322438;452,81037353499005;864,4238178542822;
45000;385,97712933735954;435,5847313036931;851,6216721491224;
50000;367,4980843722773;432,8422412886745;838,0299486142079;
55000;348,6049228310524;424,2606545708324;829,4353704315421;
60000;331,1559150405066;415,10205873909337;810,6575664771942;
65000;326,917211754669;411,16762224222623;793,5658314505605;
70000;315,0206439418069;397,68497005093934;791,4252899471445;
75000;283,88600609231514;393,7451713431281;778,0782870867721;
80000;270,7477939696103;391,04383144122966;773,6973151200971;
85000;270,23598051087066;389,0192157512914;770,0704662965438;
90000;262,2292879638444;389,0192157512914;763,2140894210818;
95000;261,37340724656326;389,0192157512914;760,2787763306193;
100000;261,37340724656326;385,9363308475505;750,979534861069;











============================================================================
Função: Ackley
============================================================================
parameter;AGEO2var_5;AGEOreal1_P;AGEOreal2_P_DS;
meanNFE;100320;100020;100020;
meanFX;0,5893204367722322;0,1871165233483283;2,604932492706284;
FXatual;0,5893204367722322;0,1871165233483283;2,604932492706284;
