




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2real1_P_AA;AGEO2real2_AA0;AGEO2real2_AA1;AGEO2real2_AA2;AGEO2real2_AA3;
meanNFE;100001;100011;100011;100011;100000;
meanFX;0,33212190505825456;0,16328708724519855;0,409761132669455;126,22105348062594;0,021354485695579538;
melhorFX;0,10344672770780305;0,06359133430906883;0,22134007165761815;20,532113809931474;1,5473178294200807E-12;
piorFX;0,4766724206867139;0,2530702758955349;0,5632928477867728;338,05150993101483;0,06886595910508819;
medianFX;0,337024566115937;0,16679397593689826;0,4199184296198133;113,36803253218075;0,017236111922963593;
sdFX;0,08512898273684394;0,036726191175016555;0,08254684535848508;79,17200444834688;0,017624088682014757;
==========================================================
===> Melhores f(x) para cada execução:
execucao;AGEO2real1_P_AA;AGEO2real2_AA0;AGEO2real2_AA1;AGEO2real2_AA2;AGEO2real2_AA3;
1;0,41801706777838277;0,1953588174844021;0,5226134436891647;48,18036916352809;0,017236111919987196;
2;0,3150159056876256;0,11224855706375492;0,45212234051352573;23,06220458295784;3,6979308504214714E-12;
3;0,4075959226407082;0,14114503875856343;0,4888964604889475;34,344464162214685;0,04665836633783116;
4;0,31183990578867493;0,2530702758955349;0,45556856241864685;84,08715531170421;0,014779776757836927;
5;0,3812669244401572;0,20344009079186365;0,5010746485959912;184,33738607489568;3,7911895844899846E-12;
6;0,23791610144577535;0,1037114787721275;0,479100590030196;333,612709971574;0,00985728461662616;
7;0,2739515305581517;0,16442975109839664;0,4380181633710112;101,98717589674554;0,014772407724890524;
8;0,38620844966982515;0,17196940262102434;0,5227961871374083;117,4283449941698;0,027051698432451143;
9;0,23273140513298973;0,139225577600939;0,43580376671120447;51,01829658483046;0,01968999800653426;
10;0,30917709709410945;0,15454949581194233;0,49538467098211547;117,58089746719737;0,01968999800669291;
11;0,21169204720779566;0,22400161274136643;0,39441299457539314;36,160330053944854;0,007396040337079524;
12;0,41359741670686423;0,14073490311106274;0,22134007165761815;75,89962253209917;0,017236111919313846;
13;0,38325262896111767;0,16750162202165186;0,2605864031106154;178,9807421389292;0,06886595910508819;
14;0,38623467203706807;0,18709925996335908;0,4751287049318612;145,29447601849583;0,012316072523096633;
15;0,42523355640760063;0,18446479738415256;0,4261908579888678;90,11591402658692;0,044287789989479465;
16;0,3854715970299364;0,12457270454114422;0,2416992810664612;192,32250448589056;0,051656795510668596;
17;0,2853392184379663;0,20119454317886865;0,3600186030684229;20,532113809931474;0,03935306837833796;
18;0,3957791980711949;0,21508849592213275;0,44227076843060287;42,84884008305943;0,02706636430059184;
19;0,3919869422305615;0,1545012156059472;0,30185598098071065;121,49411651022645;1,331701415807629E-11;
20;0,29713404322709613;0,16869813297725678;0,34585574638374494;100,25770399120853;2,486566508252963E-12;
21;0,4744666573353523;0,17348021580378892;0,405619291451796;70,07554903807458;4,002687070681077E-12;
22;0,21827002695861564;0,1820131061574528;0,4085392636033017;113,36803253218075;0,06151407817174748;
23;0,32030717610154424;0,1832371076645284;0,46885130687037646;313,50967099599626;0,014772407725604952;
24;0,22830298396331272;0,19542906544839533;0,4199184296198133;177,97204290906538;2,984501534797346E-12;
25;0,4197301786053993;0,10270718690199354;0,3161265539508503;192,76633262076913;0,022141438653250356;
26;0,3467530783348647;0,19493236277813775;0,3014955642435787;222,03216260013863;0,05409108950729713;
27;0,3913854934146127;0,14746777467422656;0,25601953744876227;108,57355882744113;0,03446240416534729;
28;0,18096983259265598;0,157321114349129;0,3510408797398076;338,05150993101483;0,019689998006490184;
29;0,36599866660759794;0,11357493378743067;0,49106524574922517;32,079159735771945;0,03690650823251873;
30;0,337024566115937;0,06359133430906883;0,3793989314110421;66,85375843558357;0,01722629387249608;
31;0,3763904247139307;0,13845539520623018;0,4154208036085898;68,6811955815872;1,564415263999308E-12;
32;0,4460442656344983;0,18269729132545875;0,47004925942363107;270,29906133937396;0,017236111922963593;
33;0,26059662543272477;0,11338716950354721;0,4644807406591862;247,52159351654365;0,04675146406458108;
34;0,4029538413319419;0,16679397593689826;0,46578976482046897;127,78605291750812;0,009857284610865102;
35;0,36538084839589546;0,18265863507840763;0,4010504146170173;149,11815874118344;0,019677734560408777;
36;0,40837961682655954;0,18900490742708143;0,4109566347933049;190,18140831817124;0,01722629386164498;
37;0,45677677120581783;0,1276843760401143;0,2924695125944994;73,49430825394717;0,00985728461021762;
38;0,32679563131598033;0,1260458176140148;0,4305226688567796;207,93067051818795;0,024602682559763944;
39;0,2792237044622915;0,20587404976039092;0,3353535052575638;44,23338147335886;0,022141438654524337;
40;0,3243748088135261;0,15426154463367614;0,5632928477867728;141,84567024757308;0,012320988877046024;
41;0,2940109185870462;0,16766092162373836;0,4999381779906864;110,58760605523645;1,407518546159281E-11;
42;0,3359481458829202;0,14865463454348438;0,2890007619967556;167,35384535551626;1,5922818619173995E-12;
43;0,250952911331635;0,19265918686696137;0,5422678480099092;54,7381738338938;0,04183879194348239;
