




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
12000;28,93735040235023;25,135856726000277;34,48072246935344;22,718288799111754;
14000;28,90847166521082;25,135856726000277;34,36826100519267;22,718288799111754;
16000;28,90847166521082;25,135856726000277;34,368258590878355;22,718288799111754;
18000;28,73951722856518;25,135856726000277;32,79031626892114;22,718288799111754;
20000;28,73951722856518;25,135856726000277;32,7839700123681;22,718288799111754;
25000;28,680518233156874;25,135856726000277;30,273908881054453;22,718288799111754;
30000;28,680518233156874;25,135856726000277;30,10720736184552;22,718288799111754;
35000;28,487043400437667;25,135856726000277;25,877641918497154;22,718288799111754;
40000;28,231267033050276;25,135856726000277;24,554639664621504;22,718288799111754;
45000;28,203593724557273;25,135856726000277;24,493936055764387;22,718288799111754;
50000;28,065205628165778;25,135856726000277;22,69990149765671;22,718288799111754;
55000;28,065205628165778;25,135856726000277;21,838985996631745;22,718288799111754;
60000;27,609417092740745;25,135856726000277;21,838985269808518;22,718288799111754;
65000;27,609417092740745;25,135856726000277;21,808320897637092;22,718288799111754;
70000;27,609417092740745;25,135856726000277;21,62388027639685;22,718288799111754;
75000;27,609417092740745;25,135856726000277;21,58968517292082;22,718288799111754;
80000;27,609417092740745;25,135856726000277;21,544641180628794;22,718288799111754;
85000;27,609417092740745;25,135856726000277;21,544190327144225;22,718288799111754;
90000;27,609417092740745;25,135856726000277;21,01428434863319;22,718288799111754;
95000;27,609417092740745;25,135856726000277;21,014283566101927;22,718288799111754;
100000;27,609417092740745;25,135856726000277;21,014276813708722;22,718288799111754;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
meanNFE;100022;100022;100022;100022;
meanFX;0,00020485519604167396;0,8178137435506249;0,6147413167304162;1,0487968493447921;
FXatual;0,00020485519604167396;0,8178137435506249;0,6147413167304162;1,0487968493447921;
medianFX;0,000111465506250001;0,45072136810000496;0,10687788000625288;1,0010002500062503;
sdFX;0,00045689990685344247;1,163811281051891;1,5925556181902654;1,2410250817273758;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO1var;AGEO2var;AGEO3var;AGEO4var;
5;85,69022689592981;85,69022689592981;85,69022689592981;85,69022689592981;
50;13,037363796583124;4,899383840386459;5,84929794726646;8,743935366276455;
100;2,6797574858699997;1,735324167649583;2,222796766549792;2,1959306463627084;
500;0,6398213208664584;0,9148170338541668;0,9549100983037491;1,0889773642281253;
1000;0,1404885693368751;0,8511678860508333;0,7253385088935408;1,082666458294792;
1500;0,07721222553354176;0,8180293409841665;0,6820210582539575;1,082160642994792;
2000;0,037035630466666705;0,8178137435506249;0,6680177257268743;1,082160642994792;
2500;0,03261313615000009;0,8178137435506249;0,6596293166235411;1,082160642994792;
3000;0,020593507303333414;0,8178137435506249;0,6240538913099996;1,0487968493447921;
