




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
30000;19,527757696283196;16,897178616457737;10,239174532416076;4,1632688407844396E-11;
35000;19,45798880151711;16,405381101265835;8,19713422602165;4,554578936222242E-13;
40000;19,154922506181684;15,822019091075214;7,190872417121995;4,197886482870672E-13;
45000;18,671175400199992;15,274788113601385;6,382284407355285;3,872457909892546E-13;
50000;18,368511986514527;14,722176791955132;6,167259807977177;3,809930149145657E-13;
55000;18,036877363365196;13,958821841318287;6,031338106240906;3,6891378840664403E-13;
60000;17,846375796127493;13,811420707263716;5,699575884431315;3,581135388230905E-13;
65000;17,665044615594862;13,531825523709221;5,572971703959656;3,5427660804998595E-13;
70000;17,13694274820449;13,129652244820516;5,361794221650184;3,446132268436486E-13;
75000;16,990417843281453;12,798790510502101;5,318336623076331;3,4120262171200013E-13;
80000;16,934827247139403;12,439476023492045;5,300444012649618;3,370814738445915E-13;
85000;16,6269447884981;12,357695248363084;5,171382965159494;3,255706815252779E-13;
90000;16,502583638827538;12,144819201608987;5,029768633599258;3,2159164220502133E-13;
95000;16,36335903744331;11,805842983298858;4,8642198411095325;3,1946001399774105E-13;
100000;16,11733677597123;11,72678195228305;4,849047261945711;3,184652541676769E-13;











============================================================================
Função: rosenbrock
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
meanNFE;100022;100022;100002;100008;
meanFX;3,247645850000483E-05;4,005893525000284E-05;8,276558464674586E-05;0,004056937796547118;
melhorFX;0;2,500062500001465E-07;2,2472333034317116E-06;2,105046637185927E-05;
piorFX;0,00019984160000002728;0,00015869140625002082;0,00023552275481242816;0,0335483365339929;
medianFX;2,029100624999996E-05;2,9401600000051703E-05;6,677893784001435E-05;0,0016252451780359922;
sdFX;4,444291833038883E-05;3,581438374442969E-05;6,308132325607986E-05;0,008370850654375653;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
5;77,23539011322985;77,23539011322985;286,09980300827027;196,32919643172346;
50;14,415115026541876;15,963498358003877;100,01274619294898;95,25927316712752;
100;2,066179032957751;1,684662344239875;27,34863631104887;36,2324517217592;
500;0,8979569387010002;0,8783828267060001;0,4027123591487207;1,1282707007022545;
1000;0,4960960786263754;0,5506118510600001;0,22862947253027033;0,8660465254724893;
1500;0,3447796787318751;0,48943038063987493;0,14709332559668223;0,45638226794251346;
2000;0,2481618382940001;0,2522915370698751;0,03507455062389795;0,4345805013490164;
2500;0,22538396877975012;0,2349012070137501;0,019763538953796577;0,2976723624776007;
3000;0,19214123102950015;0,22178508497174998;0,017556096574214086;0,28524203494186506;
3500;0,15015106275962511;0,177059690533375;0,012890411374918174;0,27167538470528796;
4000;0,12971911327900013;0,148510251401;0,011581971315250754;0,26213333764334024;
4500;0,1279922130990001;0,041810815063500054;0,004262190615434507;0,2527970738000658;
5000;0,09231232965475014;0,018179022815125057;0,0026303574081215832;0,1257965759485299;
