







=======================================================
Tuning: 0
=======================================================





============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc = 10,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 4,046349413209610E-02  -->  sd:1,879377246836800E-02
P = 12;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,062458195386430E-02  -->  sd:1,893546914196160E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,185394305440710E-02  -->  sd:1,869296138164240E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,427373857177450E-02  -->  sd:1,245957494273900E-02
P =  4;   s =  1;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,698233083564310E-02  -->  sd:1,176191335109610E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,006398136710190E-02  -->  sd:3,464811317299020E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,161477778955390E-02  -->  sd:1,209947992561620E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 7,832857100618840E-02  -->  sd:2,029072036673910E-02
P = 12;   s =  1;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 8,950779163627970E-02  -->  sd:4,485329084708670E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,261414750182820E-01  -->  sd:2,782783976057250E-02
P =  4;   s =  1;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,442282874229990E-01  -->  sd:4,340196675216530E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,680287869348810E-01  -->  sd:8,244263427742890E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,076896629018750E-01  -->  sd:5,574727899189130E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,160708750674730E-01  -->  sd:7,345584073889220E-02
P =  4;   s =  1;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,455243448569080E-01  -->  sd:4,782066788196660E-02
P = 12;   s =  1;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,471525330300890E-01  -->  sd:8,003048558522080E-02
P =  4;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,476140892236110E-01  -->  sd:5,167339431978010E-02
P = 12;   s =  1;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 2,538951585065550E-01  -->  sd:8,558729396981750E-02
P =  4;   s =  1;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,663520198346740E-01  -->  sd:5,750913030465450E-02
P =  4;   s =  1;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,850573444297410E-01  -->  sd:5,160761824101130E-02
P =  4;   s =  1;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,109332669109140E-01  -->  sd:4,975269105806620E-01
P =  4;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,208747340203520E-01  -->  sd:6,428013837629740E-02
P =  4;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,510778515382410E-01  -->  sd:8,640254573767620E-02
P =  4;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,691503523628100E-01  -->  sd:6,287430481016080E-02
P =  4;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,381329823530200E-01  -->  sd:8,129955173392860E-02
P =  4;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,717453594861720E-01  -->  sd:8,745538659647440E-02
P =  4;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,797408085025780E-01  -->  sd:8,804460571083750E-02
