




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
5000;105,14549391391927;6,150125658983447;206,88942916193034;6,302951352733271;
6000;100,57122894321643;3,1838125380286884;203,1321995705404;4,141003989774815;
7000;99,53786915882894;2,0226729191141284;201,74969112353173;2,8486652930682497;
8000;97,25905258751132;1,2621324621898922;201,00079026896208;1,867749525949848;
9000;96,04572512668354;1,0036718949706165;200,3901862124864;1,3305008360833068;
10000;93,7985301353188;0,6851311434230004;199,6083159481492;0,9096466185566815;
12000;89,00628691744701;0,5266569062895993;198,6624803308644;0,5621149494418048;
14000;84,93598733202838;0,37781010290141637;198,1619526850454;0,44057058186203973;
16000;82,3668915189474;0,3232154131975875;196,57770346350347;0,23789915832142441;
18000;78,31814223271562;0,2759716470461537;196,57770346350347;0,11924823731321979;
20000;74,89604813039409;0,26322599662498136;196,57770346350347;0,09833827670443085;
25000;71,21327965664624;0,24596137009972197;195,70445744501183;0,006742620186839901;
30000;63,73338214630492;0,2320950659796891;195,70445744501183;2,3391336867462085E-10;
35000;60,10140416710046;0,22444801620872198;195,70445744501183;4,789058039023076E-13;
40000;56,80837051220078;0,21906501806703774;194,95956493611536;4,2035708247567525E-13;
45000;53,79391812232263;0,20936024846274065;194,95956493611536;4,035882739117369E-13;
50000;49,41055888109298;0,20274191231915054;194,95956493611536;3,930722414224874E-13;
55000;46,42656012236295;0,20036748074718602;194,95956493611536;3,8610892261203847E-13;
60000;43,75496752672904;0,19174599370396678;194,95956493611536;3,774403012357652E-13;
65000;41,49014076667075;0,18740217279290022;194,95956493611536;3,7005065678386016E-13;
70000;40,251788148815336;0,1866443927171278;194,95956493611536;3,650768576335395E-13;
75000;39,677573072964506;0,1866443927171278;194,95956493611536;3,588240815588506E-13;
80000;37,22456390791525;0,1862583837830944;194,95956493611536;3,54418716597138E-13;
85000;35,621116236187106;0,18207529606208753;194,95956493611536;3,4361846701358445E-13;
90000;34,395764786357326;0,18006098129351983;192,39398873655398;3,390709935047198E-13;
95000;32,972893825503526;0,1723333400437974;190,55403177844263;3,3807623367465566E-13;
100000;31,399870522281567;0,17172697206579698;190,48130809728224;3,353761712787673E-13;











============================================================================
Função: rosenbrock
============================================================================
parameter;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
meanNFE;100020;100020;100020;100008;
meanFX;3,08855204369334E-05;4,308823845739251E-05;0,22359615381917122;0,006984262346941283;
melhorFX;5,3142106848001036E-09;3,3411220904215226E-07;1,4393795138756444E-05;1,9753713255359582E-05;
piorFX;0,00025618100759691346;0,0005398855879442404;4,931220086377069;0,05286630590309886;
medianFX;1,5038628764418007E-05;1,9548205241357282E-05;0,048510426000097286;0,001753755370188846;
sdFX;5,095381246973841E-05;7,985805931158211E-05;0,7060932049978857;0,013222580872552792;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2real2_P_AA_p0;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;AGEO2real2_P_AA_p3;
5;240,2033163200887;270,592431015137;171,91048176641993;186,31602134231204;
50;97,92709856815488;120,8333302739522;145,6146333525805;91,721549565104;
100;66,5941345408034;45,82262153783479;144,78075719677307;33,94834409977104;
500;1,2973386359966899;1,2233908528773678;37,91062521010533;2,266677817328802;
1000;1,0958052484709486;0,9630958711668016;15,90613105079959;1,6646830632499867;
1500;0,8539317788205522;0,8423338912852814;12,642386911113206;1,442124572941429;
2000;0,769433853838455;0,7874732920219395;8,57029062289298;1,3780981780515438;
2500;0,6444119453872144;0,6737526632558971;7,046765578144719;1,3206163035691685;
3000;0,5584209712890336;0,6460099043429104;4,014237253703176;1,2442300293790205;
3500;0,5185759682763541;0,59639954300037;3,8285588572570743;1,2325561603991289;
4000;0,4330301093441806;0,5465942300381222;3,314210635481613;1,1682144380724788;
4500;0,35453372571828773;0,4960856757154009;2,9605944918037825;1,0494084769177492;
5000;0,32507454049833784;0,43961925123913426;2,880065678873004;1,0434735845741683;
6000;0,2594723224117494;0,36415766161116503;2,3816079372891057;0,7572401793738244;
7000;0,19040578624299667;0,33725106346175104;2,0415787735962505;0,6387941299802065;
8000;0,18459437314137664;0,270292590189822;1,8558205884231753;0,5551546689840903;
9000;0,17736056603356645;0,25400468116421826;1,467931056391719;0,3673714817445971;
10000;0,15022342268337574;0,24850902544232917;1,467314566653088;0,2914017247118103;
12000;0,04617278219030056;0,24108575267791907;1,35135352830438;0,18868523670331006;
14000;0,013435515423111872;0,16960268316444493;1,2813645197372197;0,12506566687930204;
16000;0,007144143823301882;0,06531258624086764;1,2705417629466718;0,09753714649320781;
18000;0,006654583227074514;0,00993728882534725;1,1961947597887075;0,0771700720342765;
20000;0,0035876370891721274;0,001881626251876497;1,194415627625257;0,06394679247095925;
25000;0,002617570114869351;0,0011035261663913205;1,0741574371791158;0,04856051573242251;
30000;0,0017952666894162919;0,00107856354604553;0,7651731772432742;0,04057246690475282;
35000;0,0015461603816121722;0,00041064967145416247;0,4526376925778053;0,03521034351122108;
40000;0,0014632907643316677;0,00022719019740593272;0,4041408254840736;0,0307021111935564;
45000;0,0014617432269866224;0,00022015916833520788;0,3924807437750758;0,02703855899235215;
50000;0,0005035317196476417;0,00018647263141046365;0,37991660186842274;0,023891357774077474;
55000;0,00048670990824121096;0,00012388941614109833;0,36787956839500313;0,02110444995836219;
60000;5,080332179171805E-05;0,00010547119164236893;0,36275519826296737;0,018867682601546497;
65000;4,773789217029287E-05;0,00010547119164236893;0,3613213567667372;0,016693432559331808;
70000;4,613517829051768E-05;9,502499048458699E-05;0,3045747438763235;0,014620314067285266;
75000;4,4922406137781956E-05;8,273881577566961E-05;0,2710822229309619;0,01295591754171786;
80000;3,869932582193104E-05;7,618116854683576E-05;0,2710822229309619;0,011452067797276795;
85000;3,617678804707285E-05;7,155310739860934E-05;0,2710822229309619;0,010167044432242294;
