porcentagem;std;GEOreal1;GEOreal2
0,1;0,06;19,2915339572436;19,2914993192697;
0,2;0,12;19,3230611530859;19,3226160307116;
0,5;0,3;19,1572472014777;19,307695849327;
1;0,6;0,110689471393451;18,9196081064204;
2;1,2;0,262734809798277;2,35495204734859;
5;3;0,771418030560992;0,0307968024611484;
10;6;1,72228888181008;0,0719758952367061;
20;12;3,03053260391575;0,245691272868843;
50;30;5,39371782370487;0,83389961195235;
100;60;8,60126649073286;1,80195673869796;
