




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
3500;97,88379879478681;15,833256254673719;17,43116226073861;122,64409018393056;9,031115660382904;
4000;83,78137599153597;13,232875483225227;13,655871911591646;113,97218962673888;7,055239844758082;
4500;74,0169285707514;10,205274443142246;9,677222084883566;107,32370381861003;6,1254224403798245;
5000;65,33490229188482;8,004236284341124;7,417056553187687;102,93993854308277;5,260206964435985;
6000;51,90212008279625;5,219124627390692;4,9092976025596045;93,96255224181157;3,7678309874210734;
7000;42,54468599812976;3,3557824044931324;3,1827763992147378;87,61880466074464;2,595338017115562;
8000;35,59061635214282;2,3213595914156215;2,1284205729708012;82,49019516153564;1,731008074950706;
9000;30,11153669127322;1,6188586145718888;1,5654581515471797;78,77334112144588;1,3068993982948562;
10000;27,068494757587676;1,0910209607403223;0,9925858776641261;76,0113465379455;1,0043619306929843;
12000;23,778449007791966;0,49024714654448737;0,4868587757518201;71,28147250120226;0,5303205565134889;
14000;22,388948682726056;0,21586878400022655;0,19006834402719144;68,43779336910083;0,26260279495912187;
16000;21,903299674271015;0,0986677454122469;0,09848143065331741;66,16584506340335;0,229506198261529;
18000;21,680043308241025;0,032806128606370305;0,09833787249307377;64,19723404680397;0,10138446769389493;
20000;21,589750356218573;0,03277929389126584;0,09833787027890134;61,72834445582773;0,06556282167194354;
25000;21,380611332479404;1,1745505901217256E-09;0,03281382095366444;58,5905822017454;6,683915477386412E-08;
30000;21,3661331727097;1,0184445879228103E-14;2,3785943241705355E-07;57,050019970410744;5,2580162446247416E-14;
35000;21,363879970002777;8,052817671947802E-15;1,8947806286936005E-15;54,28953704648958;4,500103993147301E-14;
40000;21,037980364162376;6,394884621840902E-15;1,1842378929335002E-15;52,17502120208428;4,215886898843261E-14;
45000;20,896743567685423;5,210646728907401E-15;9,473903143468002E-16;50,61565530492275;4,097463109549911E-14;
50000;20,78106094139373;4,026408835973901E-15;4,736951571734001E-16;46,604473876069896;4,050093593832571E-14;
55000;20,07309178679143;3,315866100213801E-15;2,3684757858670006E-16;44,87471670399272;3,694822225952521E-14;
60000;19,69990011069203;2,6053233644537005E-15;0;43,76897890861642;3,623767952376511E-14;
65000;19,46297978151898;2,6053233644537005E-15;0;43,03693365195199;3,576398436659171E-14;
70000;19,371101530634025;2,3684757858670005E-15;0;39,8986617334556;3,386920373789811E-14;
75000;18,9591478762596;2,3684757858670005E-15;0;37,449579819963155;3,386920373789811E-14;
80000;18,923759393561898;1,8947806286936005E-15;0;34,48117984470426;3,339550858072471E-14;
85000;18,821276033314838;1,6579330501069005E-15;0;33,87549603408322;3,339550858072471E-14;
90000;18,607672184410035;1,4210854715202005E-15;0;31,38614058512815;3,2684965844964606E-14;
95000;18,142655103486252;1,1842378929335002E-15;0;29,271867482585524;3,221127068779121E-14;
100000;18,03445232774006;7,105427357601002E-16;0;28,76968982497046;3,221127068779121E-14;











============================================================================
Função: Rosenbrock
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100022;100000;100000;100020;100020;
meanFX;2,6228056875005208E-05;1,368841773961483E-09;0,001399150882948571;2,971619775303214E-06;0,00165691027867267;
melhorFX;0;7,570024135200795E-11;1,4976751572250535E-06;3,8544951012844386E-09;5,6062914868733635E-09;
piorFX;0,00012006250000007543;5,029270224994586E-09;0,006118976259511242;1,3805286259236354E-05;0,019242302637323426;
medianFX;1,6025600000000083E-05;1,0450286025505157E-09;0,0015379841115405108;2,6709135843762443E-06;0,00044757245521234035;
sdFX;3,5353970741563595E-05;1,1694610758509663E-09;0,0012657037474973834;2,8936401287654573E-06;0,003939346652977038;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;97,16439651983644;528,0455012821745;529,9149976472116;399,42398928770615;392,2266789860657;
50;9,011149743413123;516,1414030281247;527,3723534032335;194,18791526347974;124,37643827017342;
100;1,6232373493397918;501,2076926599336;523,0245235888907;84,8647201090387;18,639752796582687;
500;0,766899830766875;394,11833065588905;482,089021122619;0,5683456631159165;0,8718015496338143;
1000;0,3979632437070835;293,7016143878822;432,60572675589015;0,14192748278193507;0,3586038550638329;
1500;0,2333386667202085;215,92889134264306;387,9436903663125;0,019047573668144305;0,3054663360377907;
2000;0,1872486450400001;156,43299221164068;345,05540728480275;0,006548095615918261;0,24389058764476854;
2500;0,11933695368666679;113,74173286022194;307,1014983187262;0,004652072614126842;0,233234476689108;
3000;0,11632893773979182;81,88244814576883;273,7397028605168;0,0024300185755743173;0,1930899330686135;
3500;0,1073495571660418;57,898310064358;244,80861000530498;0,0014668562651049878;0,1826444288815147;
4000;0,05469993031937507;40,75568933901816;217,168684481176;0,0009063780727813153;0,08545495485345717;
4500;0,018501363892291733;28,821059133227287;191,9581795288458;0,0008469153373364174;0,08169670474738885;
5000;0,010928150826458368;19,554172748497088;170,92674597643878;0,0003499144758662564;0,07040383088548834;
6000;0,010036607885833358;8,790568177634757;136,08954346981747;0,0001331500235794987;0,055934710778211424;
7000;0,009870169252500036;3,2772179902327325;105,1304041868;0,0001218710223567414;0,05267985226009;
8000;0,009393070682916714;0,9710814156863335;80,70479898680959;0,00011049298876326618;0,04544264659806449;
9000;0,00647352861270838;0,3053800073468639;61,26343298782704;0,00010327101026931609;0,04433206845432824;
10000;0,006416010109583384;0,18921261181683374;45,67062462782761;8,643145980782074E-05;0,04053846227885723;
12000;0,0034814813729166895;0,07663757873463892;24,967553583423356;4,8020880553629914E-05;0,03316700009029426;
14000;0,003463235402916694;0,03872287245887877;14,385839309029626;4,394139698005015E-05;0,029564930193164186;
16000;0,0013301622768750456;0,022698113597923453;7,481772345619165;4,394139698005015E-05;0,026309239303200647;
18000;0,0012539035970833795;0,014357095309835836;3,4247830172791036;4,0929234212029546E-05;0,020296056110617345;
20000;0,0006368567129166973;0,009150491989170468;1,406416824557678;3,685767826508211E-05;0,019858206835093876;
25000;0,0005535070462500344;0,003524671405609224;0,2739499640625134;2,4331905873102904E-05;0,012710428558503673;
30000;0,0005438618464583634;0,0013991003115307306;0,12352386840256845;1,3563779150202963E-05;0,01104338097978445;
35000;0,0002812969233333383;0,0006244633527031952;0,06386925033883993;8,138017670984202E-06;0,008848602888680685;
40000;0,0002792477431250034;0,0002354920071390049;0,040577551539278646;8,138017670984202E-06;0,007551237926497572;
45000;8,85477431250083E-05;9,492365236721541E-05;0,028649953651884417;7,14142956529116E-06;0,007101364128625287;
50000;6,832945979167658E-05;4,531230135557606E-05;0,020813442067516744;6,5302835163043625E-06;0,0047448728756705584;
55000;6,41317233333424E-05;2,1196445749667895E-05;0,015372612128630008;5,3277586206601346E-06;0,003909106278884511;
60000;4,3496373333338736E-05;9,080233722878338E-06;0,011526330484559626;5,301441138366121E-06;0,0036683403888707164;
65000;3,964862333333861E-05;2,125783986010433E-06;0,008510015450134994;5,301441138366121E-06;0,0035738647232546623;
70000;3,58109733333368E-05;2,9710695176795135E-07;0,00644624766717408;4,4054403708436566E-06;0,0031764399405041924;
75000;3,0161696875002834E-05;1,5830433806705496E-08;0,004908689699195096;4,4054403708436566E-06;0,0030448842558814526;
80000;3,0161696875002834E-05;1,402842308225146E-08;0,0037855062810588703;4,247625898979839E-06;0,0024791686464325107;
85000;2,896571041666933E-05;1,3789451246602995E-08;0,002922769040268866;4,123549284092743E-06;0,0024088665673168775;
90000;2,896571041666933E-05;1,6612782676457255E-09;0,0022668854215805445;3,4695972672127405E-06;0,0019010240617281992;
95000;2,896571041666933E-05;1,4815008089799E-09;0,0017730286658666394;3,0168901103429062E-06;0,0016994094651135226;
100000;2,6228056875005208E-05;1,368841773961483E-09;0,001399356676270013;2,971619775303214E-06;0,00165691027867267;











============================================================================
Função: Schwefel
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100000;100000;100000;100100;100100;
meanFX;490,0777073069791;0,00012727566263492918;0,00012727566248334674;1118,0530174743653;0,00012727566263492918;
melhorFX;189,98606673973427;0,00012727566263492918;0,00012727566172543447;236,89903091910537;0,00012727566263492918;
piorFX;874,9036559345404;0,00012727566263492918;0,00012727566263492918;1974,028157823093;0,00012727566263492918;
medianFX;488,59641031084084;0,00012727566263492918;0,00012727566263492918;1053,2533553978226;0,00012727566263492918;
sdFX;158,3628483723679;0;3,4474307702971766E-13;420,9908278269814;0;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;3743,3081311999763;4111,833809927163;4097,096677257629;4021,4528252346718;4132,490452648243;
50;3587,4347134442223;3936,597917493178;3897,263607592726;3579,5445721361225;3960,00858491946;
100;3446,0766469121236;3829,7809071564457;3793,2151566632765;3525,1278468598107;3855,6694590229954;
500;2997,5825039942715;1618,9636017048422;2296,3317761202516;2654,3809711569165;1682,4583736334396;
1000;2311,1778189968018;941,4130425618854;1361,5772345639193;1967,7091889647465;1135,1466233678686;
1500;1790,0304052633635;715,7518616989186;909,8142225146428;1753,169717656292;850,7369624531033;
2000;1448,791281178046;565,8923439087123;702,0454557208494;1654,5852988827123;709,8538111188559;
2500;1238,1406773339543;468,4344451622628;594,7653219162487;1622,9665676459058;598,9439923683593;
3000;1121,6248026189735;415,9533705026781;500,33049726863214;1614,0802953997045;532,5220869197161;
3500;1056,549998966263;367,8682868647895;437,58465107078956;1606,4380447314334;483,153502558684;
4000;1019,3897888911755;343,2880407859837;390,09532413243966;1597,617248454903;441,58112688213146;
4500;994,5406298208724;328,26370126455754;343,2936597906002;1590,8335638397552;383,1750891124996;
5000;980,9081366906227;308,35325333263194;310,1396939306018;1580,553391241716;344,31479173061564;
6000;970,4124665396268;252,91851043171675;249,07107702468767;1570,8931812738106;271,67655258724193;
7000;967,4252502589603;216,94580917071048;206,00853731492683;1555,0811489647647;236,82152360117118;
8000;966,3705820153184;166,7814764068611;181,89135578866214;1554,8700924813604;210,13165987857428;
9000;953,9665401555886;152,6945493515918;157,31391455976888;1516,7959574648141;185,7205245799467;
10000;948,3353882359055;120,65241539983059;138,73696681374483;1503,0550389202767;154,77780547920509;
12000;925,6041539900777;95,73695967184148;79,40003287005119;1495,6811224052346;108,77345515583023;
14000;894,6825350622538;67,61503492523812;60,41657995705124;1495,5471085788934;83,13745247072441;
16000;883,1905972184758;45,05197016854278;39,52861868634941;1485,3476973619565;67,1228588065737;
18000;870,666206329726;35,53236527913438;27,636479240706088;1484,997402273936;50,98342129875147;
20000;860,2880431830376;31,589508393735834;19,7537371192122;1459,2555922887145;27,77092418102716;
25000;830,9185696949905;15,882819803236043;11,953169712721486;1437,307360686163;15,791905224376722;
30000;797,4207222434462;7,896016249959;3,9493003961084012;1429,4492628241665;11,843960980473033;
35000;783,7495695120978;3,9480717628107715;0,0001272836676131798;1418,922355632192;8,208898094958235;
40000;732,3698133710545;0,00012729187240741643;0,0001272756625742962;1397,6143148689068;0,00012793122875033683;
45000;719,72573898992;0,00012727566269556215;0,0001272756625439797;1364,1836682851829;0,00012727566266524566;
50000;693,327545778488;0,00012727566266524566;0,00012727566251366322;1363,6433456896787;0,00012727566263492918;
55000;658,6275812477627;0,00012727566266524566;0,00012727566251366322;1342,694439083029;0,00012727566263492918;
60000;648,8613328655839;0,00012727566266524566;0,00012727566251366322;1323,6915270672373;0,00012727566263492918;
65000;633,2999005952126;0,00012727566266524566;0,00012727566251366322;1299,7905129881838;0,00012727566263492918;
70000;615,4161764227443;0,00012727566266524566;0,00012727566251366322;1299,6132544645614;0,00012727566263492918;
75000;592,9923484220991;0,00012727566266524566;0,00012727566251366322;1256,3588764903463;0,00012727566263492918;
80000;565,2662748688118;0,00012727566263492918;0,00012727566251366322;1245,9100288938785;0,00012727566263492918;
85000;546,0220679073067;0,00012727566263492918;0,00012727566251366322;1202,2919021136183;0,00012727566263492918;
90000;527,4892340847603;0,00012727566263492918;0,00012727566248334674;1151,2727384861257;0,00012727566263492918;
95000;513,4023891627239;0,00012727566263492918;0,00012727566248334674;1135,5949255464059;0,00012727566263492918;
100000;490,0777073069791;0,00012727566263492918;0,00012727566248334674;1118,3199288568774;0,00012727566263492918;











============================================================================
Função: Ackley
============================================================================
parameter;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
meanNFE;100320;100200;100200;100130;100130;
meanFX;0,47412285323089814;5,1543986974896446E-08;2,813883265654719E-08;1,2297105562788657;1,4775832966051893E-07;
melhorFX;0,0023339769402035415;3,828642647363267E-08;2,4022710931603797E-08;0,02786743661132718;1,047350153271509E-07;
piorFX;2,318182450443878;7,57644151860859E-08;3,3373719787732625E-08;12,345493596870245;1,7163380050533306E-07;
medianFX;0,004653669624403278;4,976330103545479E-08;2,827843914587902E-08;0,09510547640452671;1,4890376931475657E-07;
sdFX;0,8078388216736796;9,21398819789794E-09;2,069128153111138E-09;3,1265728689381462;1,5429633672670853E-08;
==========================================================
===> f(x) médio para cada NFE:
NFE;AGEO2;GEOreal2_P_DS;AGEOreal2_P_DS_fixo;AGEO2real2_P_AA_p1;AGEO2real2_P_AA_p2;
5;20,980912745071898;21,023231962176787;21,014163762813606;20,9834228610543;21,01589478005027;
50;20,953953673509446;20,99967770065977;20,9928618579009;20,955975062184926;20,98176171203529;
100;20,940365385285645;20,983646993246783;20,983256587050178;20,917518604165327;20,953109555346906;
500;20,898979045081862;20,109666374813255;20,859935832934955;20,782324524708148;19,730940963776558;
1000;20,854114933589976;19,25458069806526;20,033263641035663;20,664955482158984;18,157625259866734;
1500;20,756563811439477;19,004621677493024;19,542369917202258;20,579037117907948;17,11095873759619;
2000;20,629708020379365;18,60433022719244;18,911511988682616;20,397836162690307;15,24198364853878;
2500;20,446155835499464;18,120086235652163;18,424896206141188;20,23016889848871;12,991424584069867;
3000;20,266291810079917;17,692526664065273;18,085286865748092;20,10959580095163;11,50257263665939;
3500;20,04974573213277;16,773273906586756;17,403237174389705;19,934655868134747;9,000936327312873;
4000;19,811705966965523;15,546099735070717;16,621355973033445;19,842263278333107;7,569201071196686;
4500;19,547485325194565;14,767363073690367;15,991627475654266;19,68458250394421;5,809915566809102;
5000;19,265330698755925;13,4476883553946;14,54190605915654;19,55481727889736;4,604879927589405;
6000;18,640226572798845;10,833245666383911;12,308478634495954;19,344803262859713;3,2163681007277014;
7000;17,89702891864584;8,032170486219943;9,188417420875686;19,16082411608862;2,421877434650182;
8000;17,088809389063027;6,029010309982326;6,974977003818673;19,00441545806572;2,030174669969891;
9000;16,29026601232432;4,254380325665492;5,036470788289561;18,816429758021954;1,5982989094554803;
10000;15,451995517368449;2,8847384804338834;3,3473501836090818;18,61217863945314;1,2599513607335482;
12000;13,83744340913919;1,4699532412662368;1,6067855507023314;18,173804366537432;0,6401253111273549;
14000;12,14170531412055;0,6313630427932454;0,7055244069994481;17,60105480045504;0,25098961589125207;
16000;10,806268159680174;0,15871033738836418;0,22034169387288063;16,999857884244435;0,0786326757907459;
18000;9,649872954018749;0,04073659757113255;0,049146209098071124;16,29743255170236;0,013569366142431604;
20000;8,614870316741134;0,0040245944670995;0,011566130105840955;15,536299651802636;0,0013135985349022642;
25000;6,26159618035029;7,701334624646469E-05;1,3343182906785008E-05;13,330172255764028;1,600845167478345E-06;
30000;4,651643646144911;3,3466359627235913E-07;8,232647132899729E-08;11,134156160610559;1,890437600830334E-07;
35000;3,574048434248247;1,1623812194253939E-07;3,414569995641159E-08;9,187386727658037;1,7358690129753995E-07;
40000;2,5929461995959384;1,1232451117374846E-07;3,2492205666774986E-08;7,7725513141179325;1,6742365491021853E-07;
45000;1,8990725308371321;8,549661908811383E-08;3,2078224165843495E-08;6,833992392868868;1,657218030951905E-07;
50000;1,2921230645533224;7,789772086634154E-08;3,143924089954453E-08;6,202487661024848;1,607109781550283E-07;
55000;0,9568432682373831;7,268493445640919E-08;3,120993881111645E-08;5,638462264439193;1,5913143324534456E-07;
60000;0,757504400458394;6,26195088671011E-08;3,1132191580240943E-08;5,013126293648314;1,579885421894763E-07;
