


============================================================================
============================================================================
TUNING GEO REAL2 P VO
============================================================================
============================================================================










============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  4;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 9,381874793784780E-03  -->  sd:1,166613351951680E-02
P = 10;   s =  4;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,042305437237660E-02  -->  sd:9,704045003051260E-03
P =  5;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,067652392693330E-02  -->  sd:7,047494425870830E-03
P = 10;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,118869417793480E-02  -->  sd:1,111438669852770E-02
P = 10;   s =  4;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,133939384885840E-02  -->  sd:9,885961599761780E-03
P = 10;   s =  4;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,314814621534980E-02  -->  sd:1,025124328743740E-02
P = 10;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,345386801626490E-02  -->  sd:1,418268834541510E-02
P = 10;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,361117556729740E-02  -->  sd:1,127693123264330E-02
P = 10;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,473470493715840E-02  -->  sd:8,714051905604700E-03
P =  5;   s =  4;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,523097029867250E-02  -->  sd:9,758616486072780E-03
P = 10;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,552428623021280E-02  -->  sd:1,850083930231910E-02
P = 10;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,647888158820080E-02  -->  sd:2,320975342258270E-02
P = 10;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,750618758793360E-02  -->  sd:1,618996085753650E-02
P = 10;   s =  4;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,766275587048450E-02  -->  sd:1,091061650212900E-02
P =  5;   s =  4;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,852827605120940E-02  -->  sd:9,223994007079340E-03
P = 10;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,062263203401420E-02  -->  sd:1,715640953851470E-02
P = 10;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,115850731051970E-02  -->  sd:1,913894464645270E-02
P = 10;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,166288780422510E-02  -->  sd:1,779517574910470E-02
P = 10;   s =  4;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,351811313716410E-02  -->  sd:1,525610464791510E-02
P = 10;   s =  1;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,391470638964780E-02  -->  sd:2,247927213200180E-02
P = 10;   s =  1;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,451812241826980E-02  -->  sd:2,365205081750910E-02
P = 10;   s =  4;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,525160619441690E-02  -->  sd:2,138870061768740E-02
P = 10;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,634815089899480E-02  -->  sd:2,340279146878450E-02
P = 10;   s =  1;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,656913132057320E-02  -->  sd:2,118060745749240E-02
P = 10;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 2,664271558158960E-02  -->  sd:2,408961164630810E-02
P =  5;   s =  4;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,995139467289670E-02  -->  sd:1,225517272607500E-02
P =  5;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,039019677778640E-02  -->  sd:1,107117438609440E-02
P = 10;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,255334645369140E-02  -->  sd:1,982662954575820E-02
P = 10;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,319582097142070E-02  -->  sd:3,180429306498060E-02
P = 10;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,426898387388350E-02  -->  sd:2,708519497806070E-02
P = 10;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,435396927685340E-02  -->  sd:2,683858893003530E-02
P = 10;   s =  4;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,709305993166030E-02  -->  sd:2,184130058612360E-02
P = 10;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,828051805230060E-02  -->  sd:3,674120472995780E-02
P = 10;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,885677629075180E-02  -->  sd:3,302251973807140E-02
P = 10;   s =  2;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,091250948583180E-02  -->  sd:1,614411965691020E-02
P =  5;   s =  4;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,329143008200510E-02  -->  sd:1,000998668015920E-02
P = 10;   s =  4;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,934622785336100E-02  -->  sd:2,111167692821740E-02
P = 10;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,058148627578920E-02  -->  sd:2,393378644217350E-02
P =  5;   s =  4;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,098998105527440E-02  -->  sd:2,136316929100290E-02
P =  5;   s =  4;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,112192494149140E-02  -->  sd:2,385509282500520E-02
P =  5;   s =  4;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 6,267525170010420E-02  -->  sd:1,804571076616030E-02
P = 10;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 6,380364420938610E-02  -->  sd:2,142405056374220E-02
P =  5;   s =  1;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,409283376598230E-02  -->  sd:1,870698656756780E-02
P =  5;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,477792148489730E-02  -->  sd:1,448322361270420E-02
P =  5;   s =  1;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,392179600709030E-02  -->  sd:1,586930510472210E-02
P = 10;   s =  1;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,514206645863190E-02  -->  sd:3,570450261103100E-02
P =  5;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 7,537968952724540E-02  -->  sd:1,881237982456230E-02
P =  5;   s =  1;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 7,737026510436710E-02  -->  sd:1,687237912159710E-02
P =  5;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,192591380553920E-02  -->  sd:3,258281656921340E-02
P = 10;   s =  4;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,277784843987420E-02  -->  sd:3,789641318164290E-02
P =  5;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 8,361363427381620E-02  -->  sd:1,771730360661400E-02
P =  5;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 9,848822145276290E-02  -->  sd:2,150011369669880E-02
P =  5;   s =  4;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,007319040239920E-01  -->  sd:3,416725384722640E-02
P =  5;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,037682135322110E-01  -->  sd:1,929430601507960E-02
