


============================================================================
============================================================================
TUNING GEO REAL2 N VO
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  1;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,847796397399780E-02  -->  sd:1,174821112755800E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,872188719774120E-02  -->  sd:8,627614165344290E-03
P = 10;   s =  4;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,914523593369520E-02  -->  sd:2,064401714104480E-02
P =  5;   s =  4;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,239196981775430E-02  -->  sd:4,740071401045380E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 5,295787306661360E-02  -->  sd:1,300988060612420E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,804657808521310E-02  -->  sd:2,196461850893350E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,014329995879010E-02  -->  sd:1,482221711818150E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,087019874024780E-02  -->  sd:2,249792102670360E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 7,281591212275910E-02  -->  sd:1,804955197103890E-02
P =  5;   s =  4;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 7,586538255379710E-02  -->  sd:8,399355171570580E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,214230997907880E-01  -->  sd:2,219293917853280E-02
P =  5;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,403551193544070E-01  -->  sd:4,443627541624340E-02
P =  5;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,505312878051620E-01  -->  sd:4,063352634695060E-02
P =  5;   s =  4;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,621189068407680E-01  -->  sd:5,199487104316510E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,655414637234340E-01  -->  sd:4,437804828510480E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,698089323653980E-01  -->  sd:5,257492078683870E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,152929353494040E-01  -->  sd:9,858879944382950E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,407960684401650E-01  -->  sd:9,039134978460560E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,437476292055060E-01  -->  sd:7,283595780351600E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,117921767989820E-01  -->  sd:6,904956519619770E-02
P =  5;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,842017073614730E-01  -->  sd:5,522650807945970E-01
P =  5;   s =  4;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,037105503493430E-01  -->  sd:1,197318507313910E-01
P =  5;   s =  4;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,095088643109890E-01  -->  sd:4,587075642911650E-01
P =  5;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,226781508059610E-01  -->  sd:9,431074062018780E-02
P =  5;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,980486935318990E-01  -->  sd:1,243067025277230E+00
P =  5;   s =  1;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,252750078587050E-01  -->  sd:9,480715488866280E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,974297460304710E-01  -->  sd:1,733792780146990E-01
P = 10;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,013586356740360E-01  -->  sd:9,198418772805620E-01
P =  5;   s =  4;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,165563459638050E-01  -->  sd:1,242085611595620E-01
P =  5;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,183651789042240E-01  -->  sd:1,023169820164660E-01
P =  5;   s =  1;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,556659568703350E-01  -->  sd:1,395330932933140E-01
P =  5;   s =  4;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,872962972855280E-01  -->  sd:1,218586798449630E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,046414475759100E+00  -->  sd:1,038298021770270E+00
P = 10;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,120262161581780E+00  -->  sd:1,223835078253360E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,507550843341380E+00  -->  sd:1,301033690167400E+00
P = 10;   s =  4;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,575680435645490E+00  -->  sd:1,713324429621270E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,889751142733470E+00  -->  sd:1,452299742601420E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,992966036202620E+00  -->  sd:1,619100913140650E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,151261746016220E+00  -->  sd:1,577392788214330E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,583786133534540E+00  -->  sd:2,260617527782800E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,888584173080530E+00  -->  sd:2,028189432770710E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,772472287422930E+00  -->  sd:4,592674967643300E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,465718992627420E+00  -->  sd:4,370408015759190E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,367292780740000E+00  -->  sd:4,969678330230570E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,721555255704010E+00  -->  sd:4,537531574468010E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,748171701443360E+00  -->  sd:4,882578212635110E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,828122542448440E+00  -->  sd:4,320278671367900E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 9,788554106645890E+00  -->  sd:8,683731386990190E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,267389285015390E+01  -->  sd:6,768958273660580E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,314687573525930E+01  -->  sd:4,293527580565160E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,349728280000470E+01  -->  sd:7,607968909854770E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,396873007285780E+01  -->  sd:6,701590203064150E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,402276605991530E+01  -->  sd:4,682029574543840E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,456768346992140E+01  -->  sd:6,607075249279080E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,607052802185520E+01  -->  sd:8,913906474029500E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,690882515017510E+01  -->  sd:8,149268763745490E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,716311789547610E+01  -->  sd:1,016769084534850E+01
P = 10;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,766705566904330E+01  -->  sd:8,981738835450710E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,780511758094450E+01  -->  sd:7,171061703245760E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,891357161035100E+01  -->  sd:6,400916682843030E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,910265434729350E+01  -->  sd:1,036090774327630E+01
P =  5;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,952184644230250E+01  -->  sd:6,857739581485920E+00
