NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var;GEOreal1;AGEO1real1;AGEO2real1;
250;188,43894670247454;22,33233203711462;212,71883907314043;209,0924826279799;155,29241663733953;158,30106603746924;33,2515881708835;94,83522614091038;28,948309143965197;
500;136,26076802219444;1,5696908353082994;169,36115939753665;156,87000311480463;63,189276840096944;91,89466733977726;2,052843173763387;44,80997511196083;0,9254915673928217;
750;96,30826716567105;0,8345812923330574;130,8490448328179;101,36688354238731;29,387770539099744;32,41052340088724;0,7396633420612558;24,117613605383553;0,31760914256371936;
1000;69,09390000903504;0,5083804091468004;104,92140287312311;64,08389934417265;19,174332987036053;14,620794484755892;0,2815011987970545;4,139164034818735;0,10476030831960431;
1250;47,98061329041465;0,39993062189883155;81,37642230575642;40,102731382342654;14,747707752901727;8,877234195253385;0,1381338187325807;2,2029605315771543;0,06557961725219442;
1500;35,18396764964902;0,2981108443486667;63,38024390385892;23,831019876348236;12,6340905984223;4,896043903807435;0,07535112377610487;0,6735114767635197;0,04282622031866456;
1750;25,290675408340803;0,24804472469692404;51,255800163927525;15,983129864780313;10,865641267440699;4,472287745027859;0,05121765510821084;0,5332681364837782;0,033921178665700095;
2000;19,32059192908624;0,22027336913519677;39,78533821046323;11,441901442081816;10,138699086378006;3,7467632561671853;0,03568016615333394;0,243449822768138;0,026137718199843844;
2250;14,541017654051084;0,21053596754106985;30,342426637536605;9,31351843575154;9,373081634346642;2,8355656399259606;0,02671941871264862;0,13321458801072136;0,019626502699244774;
2500;10,813164520776725;0,19740140616619417;24,96500593183207;7,299382789202406;9,020832420520208;1,5490772370678272;0,009633357684112465;0,09436104330264396;0,016344515897725904;
2750;8,356771015613587;0,1919899080054494;19,555666295659268;5,260610086895417;8,86766157096791;1,501276420202214;0,007311150941507687;0,06362596369437058;0,013845449484605189;
3000;6,560086423538019;0,18924077542818066;16,503489899185634;3,743604659687803;8,667370871115912;0,798726913416104;0,006924156033288001;0,04430872900519169;0,010948459534080548;
3250;5,172881063903268;0,18684202437025144;13,026828722081055;2,8817764859715407;7,548746256066057;0,6580688419257466;0,005338505339183901;0,030941757496637728;0,008894235527781005;
3500;4,098868195729438;0,17964626990276183;11,261415962908726;2,3822183559826007;7,508336595465529;0,6251085168272489;0,0038392988597937116;0,02810664104880998;0,007746792956998965;
3750;3,1754389366991034;0,1649384738992114;9,23064550104983;1,9709789754290887;7,278368351773408;0,27486992241096375;0,002629887564144742;0,018233463848933165;0,006778699818811993;
