NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var;GEOreal1;AGEO1real1;AGEO2real1;
250;3401,5987732380017;2113,7847453338527;3414,3490321376453;3509,9137715340207;2905,297295045763;3151,7489751805006;3068,246107422236;3159,9523708579773;3111,1726315293217;
500;3189,021256870564;1378,220598029475;3218,826882877283;3219,4775271483422;2189,44983118607;2456,492720534021;3060,8983048506047;3143,3425266468025;3111,1726315293217;
750;2938,634924723143;1185,8866255387388;2890,775610489736;2853,1419643564127;1792,589477650374;1935,017838921768;3060,8983048506047;3143,3425266468025;3111,1726315293217;
1000;2709,791686604972;1052,3504653115401;2626,737134026972;2482,3505371511033;1445,2713382393863;1300,0504850420496;3060,8983048506047;3143,3425266468025;3111,1726315293217;
1250;2575,22965582372;988,0110457304747;2424,5926201306365;2234,8196718600907;1327,925115488329;1099,187571434872;3060,8983048506047;3143,3425266468025;3111,1726315293217;
1500;2421,1142703594505;952,8190693482377;2217,917597490014;1934,9684874585403;1233,4150279371154;1013,1057719482512;3060,8983048506047;3136,2947989390987;3111,1726315293217;
1750;2310,024985765442;940,270091943578;2060,236048704016;1778,8576085139973;1183,3748894349335;977,6352583486016;3060,8983048506047;3124,5342433679903;3111,1726315293217;
2000;2191,6318173779296;928,7725004500663;1888,8879440575051;1606,8217245808523;1152,2840582719455;925,5768202682075;3060,8983048506047;3124,5342433679903;3111,1726315293217;
2250;2096,898135777475;917,1958020124747;1754,8052097253885;1498,4725134532464;1132,9423452663789;897,8085663563818;3060,8983048506047;3112,8316939209913;3111,1726315293217;
2500;2013,663476299255;908,0299751928385;1638,0208521089107;1411,9646761058723;1126,7340254092628;875,0772889644031;3060,8983048506047;3112,8316939209913;3111,1726315293217;
2750;1931,4863493473247;902,0723936031842;1535,3136840347204;1330,3076980682097;1104,7539878453488;864,4534774505883;3060,8983048506047;3112,8316939209913;3111,1726315293217;
