NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var;GEOreal1;AGEO1real1;AGEO2real1;
250;1,2269679169419734;0,8836710234560976;1,3669059464822113;1,0289829386884513;1,1023163138648722;1,3905008829431114;0,7114769030648166;0,726451553166673;0,7176781213258792;
500;0,803774121564845;0,6113939498659987;0,8385978852456993;0,7548661632320319;0,5996542360973046;0,9030110391852685;0,7032210033975481;0,7248959418905863;0,6972284549697847;
750;0,6868830873640749;0,48522808632725156;0,6227134157777621;0,4914555728999304;0,40539617560202756;0,5626590912376163;0,6995003956695344;0,7248959418905863;0,6841638098477497;
1000;0,5420338668354227;0,37099556740416695;0,4791414972862607;0,3915079004852686;0,2827114598830222;0,47928724086256513;0,6987046325379314;0,7248959418905863;0,6835707617881419;
1250;0,4905178411370288;0,29218898897188383;0,35627058599909894;0,37138416699689186;0,16888085011983506;0,4160839511991549;0,6943945777921166;0,7248959418905863;0,67900406403472;
1500;0,4450486179343735;0,21047452960969046;0,2895214384568838;0,3541256483266282;0,12357536421972425;0,32145612598924733;0,6943945777921166;0,7248959418905863;0,6789768421188512;
1750;0,4084889347338328;0,20068209870124154;0,21716315903598254;0,23152883191539939;0,10671599027821375;0,2530450271610243;0,6943945777921166;0,7248959418905863;0,6789696819820651;
2000;0,30769837188211674;0,18400027906524918;0,17810941068016686;0,20879441982740016;0,08616121374825512;0,221984599287827;0,6943945777921166;0,7248959418905863;0,6789513812373664;
2250;0,20440970534321085;0,12887406709775165;0,16973420145294602;0,19135186040970184;0,06505719530431707;0,1492117606875556;0,6943945777921166;0,7248959418905863;0,6789510297662759;
2500;0,18698115434478887;0,09622413048557425;0,15200717006317035;0,18634641985761913;0,058259707143726185;0,13338359799789098;0,6943945777921166;0,7248959418905863;0,678946896652275;
2750;0,15949173745004894;0,06847924062758137;0,14347779276365655;0,18037511432533018;0,031352026804933916;0,11180378858221005;0,6943945777921166;0,7248959418905863;0,6789462510501463;
3000;0,14396060642604475;0,0650031808865695;0,10461706979606915;0,1801828321641978;0,030910783150816645;0,0697989365060243;0,6943945777921166;0,7248959418905863;0,6789456538037649;
