


============================================================================
============================================================================
TUNING GEO REAL2 O DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s = 10;   std1 =  0,50;   tau =  1,00  -->  NFE:   15168  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  1,50  -->  NFE:   15388  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   15961  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   16158  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   17110  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   17546  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:   17650  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   17875  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:   18820  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:   19123  -->  fx: 7,265280513211920E-05  -->  sd:3,979358023688880E-04
P =  5;   s = 10;   std1 =  0,50;   tau =  2,50  -->  NFE:   19193  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:   19590  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:   19913  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   24086  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  0,50;   tau =  0,50  -->  NFE:   24123  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  3,00  -->  NFE:   24261  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:   25000  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   25915  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:   27293  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  3,50  -->  NFE:   27328  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   27660  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  1,00  -->  NFE:   28055  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   28540  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   29556  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   30596  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   30816  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   31233  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   32420  -->  fx: 1,311962519146740E-03  -->  sd:5,352474738485220E-03
P =  5;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   32785  -->  fx: 3,277157017625300E-03  -->  sd:1,041221270215510E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:   33250  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s = 10;   std1 =  0,50;   tau =  3,00  -->  NFE:   34866  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
