NFOB;GEO;GEOvar;AGEO1;AGEO2;AGEO1var;AGEO2var;GEOreal1;AGEO1real1;AGEO2real1;
10000;0,37136581089676657;0,13336334424093227;1,0588171173530638;0,30275103127951863;2,614376660352913;0,09143709680498595;0;0;0;
20000;0,2392901885746995;0,06104858105818019;1,0588171173530638;0,2416251733074192;1,448129001153164;0,01889660239823352;0;0;0;
30000;0,14774304481744766;0,0439404260863324;1,0588171173530638;0,1831357227897521;1,1228888350912762;0,015994641259634457;0;0;0;
40000;0,14743977682553713;0,02783152312082291;1,0588171173530638;0,1831357227897521;1,1228888350912762;0,015994641259634457;0;0;0;
50000;0,12196052235188037;0,02783152312082291;1,0588171173530638;0,17299805665438028;1,1228888350912762;0,009569468492569833;0;0;0;
60000;0,11228723927000814;0,02783152312082291;0,9040693274298738;0,1467669039978497;1,1228888350912762;0,004374440703232207;0;0;0;
70000;0,11228723927000814;0,02046851981455571;0,9040693274298738;0,14576701110348245;1,1228888350912762;0,004374440703232207;0;0;0;
80000;0,11228723927000814;0,019329261058579218;0,9040693274298738;0,14576701110348245;1,1228888350912762;0,004374440703232207;0;0;0;
90000;0,11228723927000814;0,009723851058703015;0,9040693274298738;0,14576701110348245;1,1228888350912762;0,004374440703232207;0;0;0;
100000;0,11228723927000814;0,009723851058703015;0,9040693274298738;0,14576701110348245;1,1228888350912762;0,004374440703232207;0;0;0;
110000;0,11228723927000814;0,009723851058703015;0,9040693274298738;0,14576701110348245;1,1228888350912762;0,004374440703232207;0;0;0;
120000;0,09872175144787143;0,009723851058703015;0,9040693274298738;0,1316044334054897;1,1228888350912762;0,004374440703232207;0;0;0;
130000;0,08010454335519417;0,009723851058703015;0,9040693274298738;0,1274284036108472;1,1228888350912762;0,004374440703232207;0;0;0;
140000;0,07950800508124378;0,009723851058703015;0,9040693274298738;0,1274284036108472;1,1228888350912762;0,004374440703232207;0;0;0;
150000;0,07795260601893453;0,008531918899994518;0,9040693274298738;0,1274284036108472;1,1228888350912762;0,004374440703232207;0;0;0;
160000;0,07795260601893453;0,008531918899994518;0,9040693274298738;0,10906492283425857;1,1228888350912762;0,004374440703232207;0;0;0;
170000;0,07795260601893453;0,004841658022927442;0,9040693274298738;0,10543041707809395;1,1228888350912762;0,004374440703232207;0;0;0;
180000;0,07795260601893453;0,004841658022927442;0,9040693274298738;0,10543041707809395;1,1228888350912762;0,004374440703232207;0;0;0;
