




============================================================================
Função: Griewangk
============================================================================
P = 16;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   91960  -->  fx: 3,574398935793630E-02  -->  sd:2,389263464103020E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   98032  -->  fx: 3,619040828517650E-02  -->  sd:2,507760682082870E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 3,785538057503240E-02  -->  sd:2,122350487701620E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   96951  -->  fx: 3,803942190255340E-02  -->  sd:2,463102914922780E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,973042132920810E-02  -->  sd:1,076747023284530E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 4,013582271547460E-02  -->  sd:2,145280531889130E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 4,049259855736910E-02  -->  sd:2,877003274966010E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 4,237417562581640E-02  -->  sd:2,691274737498330E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,417154292375370E-02  -->  sd:2,072861849712960E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,472554183218220E-02  -->  sd:1,083239686950750E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,512772153141920E-02  -->  sd:1,259265086662540E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,668431722422030E-02  -->  sd:1,100417774191860E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 4,955300960172390E-02  -->  sd:2,554774301838490E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,297626829906460E-02  -->  sd:1,483753171879550E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 5,464687217180290E-02  -->  sd:2,428822375325710E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100036  -->  fx: 6,682764709077770E-02  -->  sd:2,840870448410900E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 7,734422565496880E-02  -->  sd:1,928123425681830E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,391786986346200E-02  -->  sd:3,100011903927640E-02
P = 16;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 1,066877091333360E-01  -->  sd:1,666260408252740E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,104776008455670E-01  -->  sd:2,755176886044610E-02
P = 16;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 1,131410706159550E-01  -->  sd:5,893264970076740E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,159431246633180E-01  -->  sd:2,605909521375930E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 1,198808574964230E-01  -->  sd:4,465614535125160E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,203442579050730E-01  -->  sd:2,432160531480000E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,255312608664260E-01  -->  sd:2,878990319868300E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,326830184867480E-01  -->  sd:3,577999119832530E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,374038915811780E-01  -->  sd:5,098131301849810E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,630447014615770E-01  -->  sd:4,300892002541380E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,653593425950270E-01  -->  sd:4,395825160833470E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,026200122678450E-01  -->  sd:3,854465189466570E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,026295135983270E-01  -->  sd:4,691447342882310E-02
P =  8;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,131680088094860E-01  -->  sd:1,090550373547780E-01
P =  8;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,140296007683980E-01  -->  sd:6,817419689299680E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,274298503390180E-01  -->  sd:9,022223605379490E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,693434373055850E-01  -->  sd:7,630427969524070E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100036  -->  fx: 2,761437020319360E-01  -->  sd:9,759547838013100E-02
P = 16;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100143  -->  fx: 2,958843401593110E-01  -->  sd:1,524229952475970E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,538212460285330E-01  -->  sd:8,854527371680370E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,563332834245960E-01  -->  sd:1,019882840589520E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,654042372177100E-01  -->  sd:8,260491231111130E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 4,701671969742130E-01  -->  sd:8,092581810360550E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,199958353457730E-01  -->  sd:1,246605029559340E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,294491641281970E-01  -->  sd:1,139448115567630E-01
P =  8;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 6,619714778327130E-01  -->  sd:9,603256555969440E-01
P = 16;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 6,760004088745650E-01  -->  sd:9,684233774213720E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,855617172938050E-01  -->  sd:1,033956730509950E-01
