




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:   23336  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   23463  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   23668  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:   25012  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   25164  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   37545  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   38176  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   41534  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:   70327  -->  fx: 1,822732441171740E-12  -->  sd:9,644993491900160E-12
P = 12;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   44451  -->  fx: 9,129412362589100E-06  -->  sd:4,830830945513880E-05
P = 12;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:   44213  -->  fx: 2,742829087832540E-05  -->  sd:1,451368731031810E-04
P =  4;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:   33667  -->  fx: 1,147919758795980E-04  -->  sd:6,039937013231150E-04
P = 12;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:   48167  -->  fx: 3,520458788690760E-04  -->  sd:1,862851691145490E-03
P = 12;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:   64960  -->  fx: 7,034770013460860E-04  -->  sd:3,722450391871510E-03
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   31473  -->  fx: 1,052897705088460E-03  -->  sd:5,571410967309390E-03
P = 12;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:   50159  -->  fx: 1,054822113066370E-03  -->  sd:4,097086163542090E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   37940  -->  fx: 1,230722270054140E-03  -->  sd:4,944351457420020E-03
P =  4;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   22278  -->  fx: 1,308609576037330E-03  -->  sd:6,924511002944860E-03
P = 12;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:   34926  -->  fx: 1,491529018692710E-03  -->  sd:7,892429713394240E-03
P =  4;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   46465  -->  fx: 2,333810163015530E-03  -->  sd:1,234103354873790E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:   43362  -->  fx: 2,708544163718460E-03  -->  sd:8,149711545037890E-03
P = 12;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   50077  -->  fx: 4,219960015424530E-03  -->  sd:8,224938684936600E-03
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   39000  -->  fx: 4,742670430326980E-03  -->  sd:1,047419543794440E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:   51672  -->  fx: 5,272103675791360E-03  -->  sd:1,018940792051950E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   57363  -->  fx: 5,361745901252250E-03  -->  sd:9,796650860898440E-03
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   47303  -->  fx: 5,533002361506480E-03  -->  sd:1,096650859034330E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:   66862  -->  fx: 7,992764273275950E-03  -->  sd:1,196140657917760E-02
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   57644  -->  fx: 8,433053971474750E-03  -->  sd:1,305312631302820E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   71997  -->  fx: 1,079924810307100E-02  -->  sd:1,606721147050230E-02
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   65755  -->  fx: 1,307630298330470E-02  -->  sd:1,331569326614660E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:   76390  -->  fx: 1,581251967461640E-02  -->  sd:2,019429423573010E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:   60539  -->  fx: 1,668596698677340E-02  -->  sd:1,910307264129300E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   78175  -->  fx: 1,721676488319610E-02  -->  sd:1,779081230179600E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:   74312  -->  fx: 1,722035758037580E-02  -->  sd:1,785826297232490E-02
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   80185  -->  fx: 2,064300924341610E-02  -->  sd:1,514207084364070E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   92829  -->  fx: 2,090668254769780E-02  -->  sd:1,620055434845550E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:   68366  -->  fx: 2,168994450840480E-02  -->  sd:2,239902479136810E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:   87432  -->  fx: 2,313392548598680E-02  -->  sd:3,345813741705910E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:   85206  -->  fx: 2,363051616281470E-02  -->  sd:1,982046290721830E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:   87851  -->  fx: 2,380326885985220E-02  -->  sd:2,115512398068470E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   77626  -->  fx: 2,406538180180450E-02  -->  sd:2,158315687345210E-02
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   78288  -->  fx: 2,441665429396830E-02  -->  sd:2,313882182286510E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:   86438  -->  fx: 2,574839163890370E-02  -->  sd:2,128969851605200E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   90543  -->  fx: 2,590817211721110E-02  -->  sd:1,669119633259770E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   87643  -->  fx: 2,678667661053590E-02  -->  sd:2,023346177994290E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   82981  -->  fx: 2,705796841643800E-02  -->  sd:1,859568795589230E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   93633  -->  fx: 2,722259784971960E-02  -->  sd:1,527457349737170E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   87799  -->  fx: 2,723073606010630E-02  -->  sd:2,145320532740530E-02
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   90210  -->  fx: 2,767138868936450E-02  -->  sd:2,005432768469040E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:   85094  -->  fx: 2,863079449500150E-02  -->  sd:2,051066634077900E-02
P = 12;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:   79225  -->  fx: 2,880545315515770E-02  -->  sd:2,612260961600650E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:   80552  -->  fx: 2,909248012279100E-02  -->  sd:3,520134894406810E-02
P = 12;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:   93585  -->  fx: 2,951660591211460E-02  -->  sd:1,482829133497890E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   83975  -->  fx: 2,969153178267310E-02  -->  sd:1,827676852717320E-02
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   87427  -->  fx: 3,091702034520050E-02  -->  sd:2,409020074304610E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   90318  -->  fx: 3,127473947956170E-02  -->  sd:2,345541738739440E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   79122  -->  fx: 3,231625213742880E-02  -->  sd:2,838353283438690E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   73771  -->  fx: 3,254079504845620E-02  -->  sd:5,376602575654340E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   88672  -->  fx: 3,319938419390860E-02  -->  sd:2,277321784007190E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   89268  -->  fx: 3,381670442000860E-02  -->  sd:2,664854049359120E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   86416  -->  fx: 3,846847990593040E-02  -->  sd:2,552630410239490E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:   88172  -->  fx: 8,197121856359820E-02  -->  sd:6,344163085030460E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:   96135  -->  fx: 9,732652652466550E-02  -->  sd:9,549992942495630E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   95970  -->  fx: 1,566527520256400E-01  -->  sd:1,154733249771970E-01
P = 12;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:   98801  -->  fx: 1,976458546716090E-01  -->  sd:1,807580173840730E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:   98428  -->  fx: 2,364710370046300E-01  -->  sd:1,573175032560230E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,418248695804460E-01  -->  sd:1,593303824501670E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,042233685750330E-01  -->  sd:1,663022986846360E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,913149644228680E+00  -->  sd:3,316859080400440E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,098215889986980E+02  -->  sd:1,100664673165410E+02
P = 12;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,740308167258200E+02  -->  sd:9,031070977355800E+01
P =  4;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,846268412460070E+02  -->  sd:9,366876888114710E+01
P = 12;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,888044333686960E+02  -->  sd:8,240095532443750E+01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,310300552528540E+02  -->  sd:7,392978088195530E+01
P =  4;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,354519967593160E+02  -->  sd:6,027271138842470E+01
P =  4;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,358957930234610E+02  -->  sd:6,279172000259850E+01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,496898314532800E+02  -->  sd:4,617996528817940E+01
P =  4;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,515046716209200E+02  -->  sd:4,910877962940080E+01
P =  4;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,574166728176620E+02  -->  sd:5,388179354293650E+01





============================================================================
Função: Rastringin
============================================================================
P =  4;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:    3663  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:    3990  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:    4224  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:    4250  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:    4343  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:    4453  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
