




============================================================================
Função: Griewangk
============================================================================
P = 12;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:   90392  -->  fx: 3,373223077719850E-02  -->  sd:2,240162796158750E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,469888415501840E-02  -->  sd:2,363233334613960E-02
P = 12;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 3,607165349359680E-02  -->  sd:2,301953632918750E-02
P =  4;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,610077645630600E-02  -->  sd:1,279234498607080E-02
P = 12;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:   97462  -->  fx: 3,838393155329840E-02  -->  sd:2,076220354686030E-02
P = 12;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,873955141959370E-02  -->  sd:2,839670212590250E-02
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 4,040307102919650E-02  -->  sd:3,651047903513550E-02
P =  4;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,141258726433170E-02  -->  sd:1,311738352557290E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,152985992337580E-02  -->  sd:1,525958841265050E-02
P = 12;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,849223716965940E-02  -->  sd:2,420535298672980E-02
P =  4;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,664716932695800E-02  -->  sd:1,815341693098410E-02
P =  4;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 9,210367737842110E-02  -->  sd:3,078403138017900E-02
P = 12;   s = 10;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,076163091747740E-01  -->  sd:5,283176190500510E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,172754446781590E-01  -->  sd:4,371837885791320E-02
P =  4;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,201425346342890E-01  -->  sd:3,733498417657150E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,330203220499720E-01  -->  sd:3,155071952148930E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,346846187054890E-01  -->  sd:5,795964086080080E-02
P =  4;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,451040564986040E-01  -->  sd:4,511301467008520E-02
P =  4;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,502420561613970E-01  -->  sd:2,956364266072480E-02
P = 12;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,548479931844130E-01  -->  sd:6,843968735642110E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,812030486925560E-01  -->  sd:3,561950056795330E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,007681933563240E-01  -->  sd:4,766451444229070E-02
P = 12;   s = 10;   porc =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,106900716376780E-01  -->  sd:8,565931866051380E-02
P =  4;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 2,167256825721870E-01  -->  sd:5,519463527877980E-02
P =  4;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,470049539585010E-01  -->  sd:5,393550859258820E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,476458448526700E-01  -->  sd:5,298993356960050E-02
P =  4;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,477880577744930E-01  -->  sd:7,146006677625420E-02
P =  4;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,607434362684130E-01  -->  sd:5,796891329734320E-02
P =  4;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,039741007439010E-01  -->  sd:8,282982650585170E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,244414914985400E-01  -->  sd:5,013948113286000E-02
P = 12;   s = 10;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 3,388354753011150E-01  -->  sd:2,082879830199560E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,128670365596970E-01  -->  sd:7,952455073559390E-02
P =  4;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 4,186238899382040E-01  -->  sd:8,245552179784210E-02
P = 12;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,884592819680620E-01  -->  sd:1,582094145258590E-01
P =  4;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,383422222119010E-01  -->  sd:8,040595085557920E-01
P =  4;   s = 10;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,493851278886060E-01  -->  sd:1,113529302981030E-01
P =  4;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,636105337504690E-01  -->  sd:1,510849231601260E-01
P =  4;   s =  2;   porc =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,746740100509730E-01  -->  sd:7,866249681842580E-02
P =  4;   s = 10;   porc = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 6,279288463195560E-01  -->  sd:1,245707951182290E-01
P = 12;   s =  2;   porc = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 6,887397488477820E-01  -->  sd:1,411399365831060E-01
P =  4;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,997200691566750E-01  -->  sd:1,111586474272220E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 7,009488941350840E-01  -->  sd:1,213959784448250E-01
P = 12;   s =  2;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 7,225069491727470E-01  -->  sd:1,678994605512510E-01
P =  4;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 7,639987244961410E-01  -->  sd:1,135674799621160E-01
P =  4;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,716697682078140E-01  -->  sd:7,317191583856130E-02
P =  4;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 7,752662140373260E-01  -->  sd:8,419321952389060E-01
