




=======================================================
Tuning: 1
=======================================================





============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,904474636095490E+01  -->  sd:1,260625222600410E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 3,167818331825450E+01  -->  sd:1,034594192252910E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,222025860584500E+01  -->  sd:1,056704471722010E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,247289120058930E+01  -->  sd:1,090770234507380E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,383991789073030E+01  -->  sd:1,348255265034230E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 3,450370870791350E+01  -->  sd:1,528225777819910E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,508276828111770E+01  -->  sd:1,658627077281360E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 3,583563897047670E+01  -->  sd:1,449429723038910E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,598717976866050E+01  -->  sd:9,807329318993830E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,700291609928240E+01  -->  sd:9,997079246673850E+00
P = 12;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 3,913345423537380E+01  -->  sd:1,225941630506350E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,917919142082070E+01  -->  sd:1,414975593086080E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 4,031570776055180E+01  -->  sd:1,197664065186640E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 4,090881174169830E+01  -->  sd:1,760058057934910E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,202354851903920E+01  -->  sd:1,403423867495940E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,464148631095360E+01  -->  sd:1,082824278125260E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,501040373092220E+01  -->  sd:1,123007423680630E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 4,694038652859290E+01  -->  sd:1,338558688935040E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,713087983649350E+01  -->  sd:1,355163431061540E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 4,812444302005690E+01  -->  sd:1,671815362963790E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,907380676613620E+01  -->  sd:1,089945436904750E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 5,073379492175830E+01  -->  sd:1,287919305254090E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 5,145992261882580E+01  -->  sd:1,662348242506260E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,161321653731290E+01  -->  sd:1,164405712545560E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,310740502023600E+01  -->  sd:1,586653624587170E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 5,458013891492580E+01  -->  sd:1,247620264775430E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 5,504692322124980E+01  -->  sd:1,848911365553070E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,718394780246480E+01  -->  sd:1,466349942386180E+01
