


============================================================================
============================================================================
TUNING GEO REAL2 N DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,465514798779370E-01  -->  sd:8,048821459043450E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,751594667740410E-01  -->  sd:1,665717788735560E-01
P =  5;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,778496491429570E-01  -->  sd:1,168856968523540E-01
P =  5;   s = 10;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 8,570009587171560E-01  -->  sd:1,080327370119660E+00
P =  5;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,027750040932120E-01  -->  sd:1,324971040834080E-01
P =  5;   s = 10;   std1 =  2,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,284668754355160E+00  -->  sd:1,792689972583920E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,782830879420370E+00  -->  sd:1,847747742092740E+00
P = 10;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 3,199546438404380E+00  -->  sd:5,844299897011260E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 3,496909023500210E+00  -->  sd:2,464082072802680E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,815106582331500E+00  -->  sd:3,351401489622830E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 8,080555535718440E+00  -->  sd:6,541666228607070E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,441771704071080E+00  -->  sd:5,720054202668740E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,020034878980750E+01  -->  sd:7,562096842383350E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,267202253834150E+01  -->  sd:5,037350128481080E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,272346917355080E+01  -->  sd:6,484964188054830E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,425256379964910E+01  -->  sd:6,925335467579710E+00
P =  5;   s = 10;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,426521293961740E+01  -->  sd:7,072156237360060E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,532387136786850E+01  -->  sd:8,808605235958140E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,642418332802060E+01  -->  sd:8,942455362729480E+00
P = 10;   s = 10;   std1 =  2,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,719137400281170E+01  -->  sd:9,503936261505430E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,870001948549380E+01  -->  sd:5,852620734575430E+00
