




============================================================================
Função: Griewangk
============================================================================
P =  4;   s = 10;   porc =  5,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,582664328855940E-02  -->  sd:1,423175825299150E-02
P = 12;   s = 10;   porc =  5,00;   tau =  4,00  -->  NFE:   87708  -->  fx: 2,696755613458200E-02  -->  sd:1,853028276936550E-02
P = 12;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:   91157  -->  fx: 2,723432219745740E-02  -->  sd:2,287733836275480E-02
P = 12;   s =  2;   porc =  5,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 2,868382011014980E-02  -->  sd:2,690305327921930E-02
P = 12;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 2,907833580507490E-02  -->  sd:1,775190459221980E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 2,994969220606870E-02  -->  sd:2,168964785734560E-02
P = 12;   s = 10;   porc =  5,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 3,016171361975300E-02  -->  sd:2,419971230354760E-02
P = 12;   s = 10;   porc =  5,00;   tau =  5,00  -->  NFE:   87881  -->  fx: 3,083462106849290E-02  -->  sd:2,635658845054740E-02
P = 12;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,091829116247350E-02  -->  sd:2,427232302054140E-02
P =  4;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,128538436727380E-02  -->  sd:1,028592781741980E-02
P = 12;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:   89731  -->  fx: 3,144887656182760E-02  -->  sd:2,553009204416010E-02
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,206579468028620E-02  -->  sd:3,530867035887940E-02
P = 12;   s = 10;   porc =  5,00;   tau =  4,50  -->  NFE:   90582  -->  fx: 3,241036724805560E-02  -->  sd:2,544659734007950E-02
P =  4;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 3,366807567901030E-02  -->  sd:1,473880632909010E-02
P = 12;   s = 10;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 3,461980272206570E-02  -->  sd:1,628419519290250E-02
P = 12;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:   87367  -->  fx: 3,504392063317770E-02  -->  sd:2,358477137621530E-02
P = 12;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,505032041918500E-02  -->  sd:1,702512898661310E-02
P = 12;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:   88426  -->  fx: 3,516260728942720E-02  -->  sd:3,137931562103560E-02
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,615941285160230E-02  -->  sd:2,975741005625450E-02
P = 12;   s =  2;   porc =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,697784138036270E-02  -->  sd:3,361250257088730E-02
P = 12;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:   94195  -->  fx: 3,752276701842560E-02  -->  sd:2,726061650256490E-02
P = 12;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:   94247  -->  fx: 3,775676555077810E-02  -->  sd:2,584526452008740E-02
P = 12;   s =  2;   porc =  5,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,973864277181440E-02  -->  sd:3,540170281207370E-02
P = 12;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:   91023  -->  fx: 3,987142621649050E-02  -->  sd:2,820105752518990E-02
P = 12;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:   90146  -->  fx: 4,092186702010460E-02  -->  sd:3,398717001705430E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,142813184443200E-02  -->  sd:1,401265008717220E-02
P =  4;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,218915253804010E-02  -->  sd:1,514321119900220E-02
P = 12;   s = 10;   porc =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 5,050533772119310E-02  -->  sd:2,816554421640960E-02
P = 12;   s =  2;   porc =  5,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 5,942559517704300E-02  -->  sd:3,011568774040980E-02
P =  4;   s = 10;   porc =  5,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 6,088537617494950E-02  -->  sd:2,681466203702750E-02
P =  4;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,761527650281860E-02  -->  sd:2,166586133747340E-02
P = 12;   s = 10;   porc =  5,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 8,729081112313530E-02  -->  sd:4,893743348691330E-02
P =  4;   s = 10;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,792724479079520E-02  -->  sd:3,528769929506120E-02
P =  4;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,149782457123770E-01  -->  sd:3,837626158279430E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,191400671673390E-01  -->  sd:3,912290672471130E-02
