




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,702866377868110E+01  -->  sd:7,835146798945670E+00
P =  4;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,911207737013260E+01  -->  sd:9,769522671449630E+00
P = 12;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 2,998900723986780E+01  -->  sd:1,559058622604700E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,187933409674880E+01  -->  sd:1,074771833025900E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,239019729872650E+01  -->  sd:1,349729099793540E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 3,246701891321220E+01  -->  sd:1,388672375394190E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 3,366172003680110E+01  -->  sd:1,293308426656260E+01
P =  4;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 3,448487736589780E+01  -->  sd:1,073439924322510E+01
P = 12;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,603363840698630E+01  -->  sd:1,455036312447510E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,639522316673220E+01  -->  sd:1,122921472046730E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,666940301435670E+01  -->  sd:1,037139900426870E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 3,919378780962100E+01  -->  sd:1,704067119116590E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,094311750594220E+01  -->  sd:1,550626615419010E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 4,211870577833870E+01  -->  sd:1,417090985151060E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 4,268867282314650E+01  -->  sd:1,122798819389500E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 4,365133735403790E+01  -->  sd:1,300009108277880E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,438843915908360E+01  -->  sd:1,291525740246500E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:  100000  -->  fx: 4,647971086542960E+01  -->  sd:1,018091195941280E+01
P =  4;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,791991319635860E+01  -->  sd:1,035198854114780E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 4,797109793752960E+01  -->  sd:1,303020707101960E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,941099428127620E+01  -->  sd:1,312823112999930E+01
P = 12;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 4,954802865647750E+01  -->  sd:1,684437007685360E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,017359414449740E+01  -->  sd:1,401045158993810E+01
P =  4;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:  100000  -->  fx: 5,055634677615100E+01  -->  sd:1,566483736625140E+01
P = 12;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 5,304661151172030E+01  -->  sd:1,555012689111300E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,317936830907800E+01  -->  sd:1,386904724511570E+01
