




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,908163969396320E-02  -->  sd:9,207419998038260E-03
P = 12;   s =  1;   porc =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,935233223502740E-02  -->  sd:2,705494379255790E-02
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:   92531  -->  fx: 4,075219881201630E-02  -->  sd:3,233638024813220E-02
P = 12;   s =  1;   porc =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 5,022327106534460E-02  -->  sd:2,322550970084240E-02
P =  4;   s =  1;   porc =  0,10;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,027613071642680E-02  -->  sd:1,621062112295180E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 5,744103599989660E-02  -->  sd:1,746038846035490E-02
P = 12;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,940319391067020E-02  -->  sd:3,333871619017820E-02
P =  4;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 7,139301856337920E-02  -->  sd:1,641131192605050E-02
P = 12;   s =  1;   porc = 50,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 1,080719554991300E-01  -->  sd:5,726476449683770E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,239953889240120E-01  -->  sd:3,224572553719810E-02
P =  4;   s =  1;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,514235135702370E-01  -->  sd:3,911721942368090E-02
P = 12;   s =  2;   porc = 10,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,528011453057150E-01  -->  sd:6,134170297219490E-02
P =  4;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,130177107529520E-01  -->  sd:5,636240065497760E-02
