


=======================================================
Tuning: 3
=======================================================





============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 1,161165559086610E-01  -->  sd:2,928077667296310E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,306440416613170E-01  -->  sd:2,613637367478600E-02
P = 12;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,330523663637640E-01  -->  sd:3,983508502002010E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,357784710575340E-01  -->  sd:3,447929067304100E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,391990238041630E-01  -->  sd:6,069897088351570E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,539146984878810E-01  -->  sd:3,979645070472640E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,639593468302770E-01  -->  sd:2,100436235497300E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 1,991461807354140E-01  -->  sd:5,341201000962730E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 2,007451051793520E-01  -->  sd:4,444561302365300E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 2,244329803599960E-01  -->  sd:6,507158055909490E-02
P = 12;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,291037982735540E-01  -->  sd:9,602295278172320E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 2,595193910512540E-01  -->  sd:5,973004493326220E-02
P =  4;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 3,392112008484630E-01  -->  sd:1,036331149311620E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,585996900584720E-01  -->  sd:8,597250841408250E-02
P = 12;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 3,872075210228200E-01  -->  sd:1,020218123834260E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 4,079477792745210E-01  -->  sd:5,728755152217570E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,458527396871970E-01  -->  sd:9,777022865979200E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,084462507862200E-01  -->  sd:8,977878355280910E-02
P =  4;   s =  2;   std1 = 10,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 5,325457526714690E-01  -->  sd:1,076349610905760E-01
P =  4;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,409437661764070E-01  -->  sd:1,206518802531040E-01
P =  4;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,497024150430000E-01  -->  sd:1,480383897512920E-01
P = 12;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 7,513602968782550E-01  -->  sd:2,065134450545070E-01
P =  4;   s =  2;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 8,816357447837560E-01  -->  sd:1,142105007394410E-01
P =  4;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,881284733290890E-01  -->  sd:1,047980103378730E-01
P = 12;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 1,146932047049410E+00  -->  sd:1,922341310990720E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,674597972097770E+00  -->  sd:1,941371785317530E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 1,748131380289620E+00  -->  sd:1,549844775403150E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 1,880164031298200E+00  -->  sd:1,787001933590330E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 2,211271056879690E+00  -->  sd:1,766096549742440E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 2,336419457983310E+00  -->  sd:1,997976970500540E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   97898  -->  fx: 2,797693466470130E+00  -->  sd:3,326872941686400E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 2,974556464199760E+00  -->  sd:2,454260952872420E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,127288003771980E+00  -->  sd:2,787104582544770E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 3,206259327235470E+00  -->  sd:2,282749269176310E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  5,00  -->  NFE:   98564  -->  fx: 3,224488267157340E+00  -->  sd:2,742784497676850E+00
P = 12;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 3,375940926487790E+00  -->  sd:2,398942218988870E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 3,747347362744900E+00  -->  sd:2,883317907099750E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 4,124950899022290E+00  -->  sd:2,394970443778110E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 8,475312040660920E+00  -->  sd:4,164975519227820E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 8,887520459429500E+00  -->  sd:3,312962813144280E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 1,214269341006330E+01  -->  sd:5,016923725030240E+00
P = 12;   s = 10;   std1 = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,461782726376200E+01  -->  sd:9,958578927991900E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,687161332723150E+01  -->  sd:6,003194422679580E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 1,965411134097150E+01  -->  sd:8,307554657022790E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 2,145717354631800E+01  -->  sd:8,446379091275460E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,294401504528600E+01  -->  sd:8,894406064373010E+00
P = 12;   s =  2;   std1 =  5,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,573819248099270E+01  -->  sd:1,350675976679400E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 2,960036584643300E+01  -->  sd:7,914575736024090E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,242184143271890E+01  -->  sd:9,606678575944290E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 3,412597851325710E+01  -->  sd:9,009649340413840E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,942644245267830E+01  -->  sd:1,269856550636620E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,242700308573500E+01  -->  sd:1,100013778421570E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,585127048292960E+01  -->  sd:1,234250480997390E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,794865612236150E+01  -->  sd:1,200393176857310E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,198907769784100E+01  -->  sd:1,532534990317010E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 5,841841921615920E+01  -->  sd:1,752700767505820E+01
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 6,204182801798620E+01  -->  sd:2,117014766716820E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 6,330388018756220E+01  -->  sd:1,311807890511940E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 6,357137683413960E+01  -->  sd:1,700884506928660E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,670401350304230E+01  -->  sd:1,634893275412000E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,722752541485460E+01  -->  sd:1,483047039535270E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,735668473054410E+01  -->  sd:1,809471633234660E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,840193395374790E+01  -->  sd:2,174414490904930E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,843689412208340E+01  -->  sd:1,586580220944940E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,872978424960090E+01  -->  sd:1,393490210022100E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,898389753270850E+01  -->  sd:1,384823218016020E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:  100068  -->  fx: 6,909304906933410E+01  -->  sd:1,857013115157150E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,980245159432970E+01  -->  sd:1,871628896793460E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:  100068  -->  fx: 7,057068269093870E+01  -->  sd:1,832375781785300E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:  100068  -->  fx: 7,350127434071800E+01  -->  sd:1,919158828108930E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 7,816794912503820E+01  -->  sd:1,741337850184990E+01
P = 12;   s = 10;   std1 =  5,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 8,009874732688910E+01  -->  sd:2,406730646334340E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:  100068  -->  fx: 8,692516470081610E+01  -->  sd:2,168484461859250E+01
P =  4;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,073844638081550E+02  -->  sd:2,766609476552070E+01
P = 12;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:  100068  -->  fx: 1,208486876150220E+02  -->  sd:2,811005807592050E+01
P = 12;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,279577095215130E+02  -->  sd:3,102629061116990E+01
