============================================================================
Função: Beale
============================================================================

1...2...3...4...5...6...7...8...9...10...11...12...13...14...15...16...17...18...19...20...21...22...23...24...25...26...27...28...29...30...31...32...33...34...35...36...37...38...39...40...41...42...43...44...45...46...47...48...49...50...
==========================================================
===> Média de NFE, média de f(x) e desvio padrão de f(x):
parameter;AGEO1real1;AGEO2real1;
meanNFE;100001;100001;
meanFX;1,689975781427824E-05;1,0240400335304243E-05;
sdFX;1,6964405073892407E-05;1,2317518029509804E-05;

==========================================================
===> Médias para cada NFOB:
NFOB;AGEO1real1;AGEO2real1;
57000;0,04578727971256157;3,620703036792284E-05;
57500;0,04578688449748544;3,433307642316153E-05;
58000;0,04578688449748544;3,433307642316153E-05;
58500;0,04578688449748544;2,082313110581062E-05;
59000;0,04578688449748544;2,082313110581062E-05;
59500;0,0457865494813079;1,873955371704904E-05;
60000;0,0457865494813079;1,873955371704904E-05;
60500;0,045779886662668766;1,873955371704904E-05;
61000;0,04577821919451118;1,873955371704904E-05;
61500;0,04577821919451118;1,873955371704904E-05;
62000;0,04577821919451118;1,873955371704904E-05;
62500;0,04577821919451118;1,873955371704904E-05;
63000;0,04577529490366119;1,873955371704904E-05;
63500;0,04577529490366119;1,873955371704904E-05;
64000;0,018201643538812148;1,871723182409008E-05;
64500;0,01528361040661753;1,871723182409008E-05;
65000;0,01528361040661753;1,871723182409008E-05;
65500;0,015277189884344244;1,871723182409008E-05;
66000;0,015277189884344244;1,871723182409008E-05;
66500;0,01527332672016035;1,871723182409008E-05;
67000;0,01527332672016035;1,8260550288242496E-05;
67500;0,01527332672016035;1,6914296532284175E-05;
68000;0,01527332672016035;1,6914296532284175E-05;
68500;0,01527332672016035;1,6292857051811227E-05;
69000;0,01527327518002189;1,6292857051811227E-05;
69500;0,015272407375367612;1,6292857051811227E-05;
70000;0,015272266094590871;1,628990590157121E-05;
70500;0,015272266094590871;1,557332495315214E-05;
71000;0,015272266094590871;1,557332495315214E-05;
71500;0,015272266094590871;1,557332495315214E-05;
72000;0,015264658986113564;1,557332495315214E-05;
72500;0,015264502232262327;1,557332495315214E-05;
73000;0,015264502232262327;1,552999165590532E-05;
73500;0,015263053267557085;1,552999165590532E-05;
74000;0,015263053267557085;1,552999165590532E-05;
74500;0,015262964383457353;1,5321181658999463E-05;
75000;0,015262964383457353;1,5321181658999463E-05;
75500;0,015262964383457353;1,5321181658999463E-05;
76000;0,015262386595164457;1,5321181658999463E-05;
76500;0,015261817383634588;1,5321181658999463E-05;
77000;0,015261562987844271;1,5321181658999463E-05;
77500;0,015261562987844271;1,5321181658999463E-05;
