tau;GEO;GEOvar
0.25;19,1393218869245;18,4681611519727;
0.5;15,7408272746987;16,2016465521296;
0.75;7,67771720817045;12,1507314457399;
1;1,89802358929583;6,88126782893446;
1.25;0,823551074484831;3,02766482465796;
1.5;0,8757881273295;1,63471476439856;
1.75;0,577297954950497;0,752206242870556;
2;0,334348007936888;0,287406815201945;
2.25;0,637042499699295;0,163019288240696;
2.5;0,464547702364204;0,182358068162817;
2.75;0,60203908488502;0,282214470858053;
3;0,60545887569752;0,452594860324356;
3.25;0,258333945537436;0,697058256210986;
3.5;0,36934781057903;0,872221332379448;
3.75;0,490022347248143;0,869371908861925;
4;0,273123992187121;1,06426433721046;
4.25;0,538124855836814;0,968816039892109;
4.5;0,433830442400194;1,22678517801509;
4.75;0,327828845764386;1,23319411167798;
5;0,481592266644328;1,16656384421894;
5.25;0,281291440474102;0,875270921089497;
5.5;0,580044823686177;1,14211095997579;
5.75;0,582828593672394;1,06277302796318;
6;0,40728540514017;1,00516673047359;
6.25;0,606833663666862;1,15370876697852;
6.5;0,491391781960031;1,24918333033286;
6.75;0,420880461744318;1,1248047204077;
7;0,558677867162115;1,13936338584249;
